Unnamed: 0,Product,Review_Summary,Rating
3480,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The sales people are really nice and knowledgeable to me I will come back again,5.0
3481,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great product and service and the sales man r really nice.,5.0
3482,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great product and service will refer to a friend. And the sales man r good,5.0
3483,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",very good product and service will refer a friend.,5.0
3484,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great selections. Hard to find assistance at times.,5.0
3485,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",This kindle is a basic and easy to use eReader. Exactly what I wanted. The charge lasts for a long time so you don't have to worry about charging it daily.,5.0
3486,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Disappointed to realize there is not a light for night reading. Size and weight is great.,3.0
3487,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",It is affordable and it had Increased storage but no backlight and the screen could be better!,3.0
3488,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Very good reading on this good and strong quality kindle,5.0
3489,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,3.0
3490,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I particularly like the fact that the text shows up and you can see it well outside on a sunny day. I use it with Kindle Unlimited.,5.0
3491,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",4.0
3492,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",I purchased this product because I love to read and buying books got costly. With this product I can read all I want for 10.00 a month,5.0
3493,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","This is really good if you read a lot, doesn't strain your eyes and very light weight. Only demerit is - cant use in night if there is not enough light.",4.0
3494,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Excellent product very good piece strongly recommend,5.0
3495,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The Amazon Kindle is a good gift for the bookworm in your life. The lightweight and simplistic operating system allows for easy and enjoyable reading without all of the extras of a tablet. Great product for your money!!,4.0
3496,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","In trying to get my son to read more and thought a kindle would help. First I got a good deal on an old kindle model that had been refurbished and it quickly broke. I had a gift card to Best Buy and this one was on sale, so I got it for him. I also bought him a silicone case and bought a Best Buy warranty. It is much easier to use this model vs the old one that he had originally, and I like that you can use FreeTime app on this device but you only just get the books. I also use overdrive to get him books from the library. So far it is working great for us. I bought this at Best Buy instead of getting it online from Amazon because I like the Best Buy warranty and that they are easier to deal with than Amazon.",5.0
3497,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",The Kindle is great for reading on the go when I can't carry around a lot of books.,5.0
3498,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Great buy! Bought it to replace a first generation Kindle.,5.0
3499,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta","Perfect size, so easy to carry around. Long lasting battery life. Would reccomend!",5.0
3500,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Easy to use and similar to using a book. Love it! I would buy again!,5.0
