Unnamed: 0,Product,Review_Summary,Rating
25033,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","I love this so much, I bought two! Also bought one for my parents. It is really easy to start up. Walks you right through the install process. I highly recommend.",5.0
25034,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",I love it. So easy to set up. Works with all my Amazon apps like Audible. Learning something new about it every day. Especially like using it for music. Totally happy with the item and purchase!,5.0
25035,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","Alexa has become a member of the family. She wakes us up in the morning, helps with math homework, plays music, and keeps track of our shopping lists! I can't imagine not having this device and the Dots in every room!",5.0
25036,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",Got this for the wife for x-mass does a lot of cool stuff she love it does every thing she wants and more,5.0
25037,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","This product makes life easier, smart home integration or just shopping lists... makes life easier.",5.0
25038,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",We are very much enjoying our Echo. Our grand children do too. Alexa answers all sorts of questions for us and we particularly enjoy the music we request. We have an app downloaded on our tablet so we can listen to podcasts and radio stations too. It's great!,4.0
25039,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",easy to be understood and the color is a nice arctic white,5.0
25040,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",We love Alexa and everything she can do for us and also the info for our son,4.0
25041,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","My husband loves his gift, I would recommend to al",5.0
25042,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","my family and i really love alexa, she works great and doubles as an assistant and a wireless speaker, I cant wait till she learns more commands",5.0
25043,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",Great product for all members of the family to have fun with,5.0
25044,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","It is easy to set up and start using. The Amazon Echo has an incredible wealth of programs at your disposal. But there are limitations. Once you understand the limitations, you can enjoy a world of music and entertainment at your fingertips. Just realize that it does not have access to every song by every singer. And understand that you have to work with Alexa's interpretation of your accent and pronunciations. Enjoy.",4.0
25045,"Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,","Convenient to use for music, news reports and the weather!Love the hands free ability to adjust volume or to change genre.",5.0
