Unnamed: 0,Product,Review_Summary,Rating
24905,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Really enjoy my echo. Great sound fun to use and stylist,5.0
24906,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",I'm using the Echo and Samsung's hub as the centerpieces of my home automation system. Since buying the Echo I've also added several Dots to build out the system. It's a lot of fun to work with.,5.0
24907,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","This is one cool item. It doesn't take up a lot of space, has a great sound and is like having a personal assistant.",5.0
24908,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","Like using it to play music, answering questions, playing favorite radio stations, setting timers in kitchen, telling jokes. Apps for games are few. Questions to Alexa must be exactly worded or she does not understand the question.",4.0
24909,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","i adore my echo...i wake up in morning, get a quick weather, sports scores...and here in florida, i get to listen to my favorite nyc sports radio stations...i use it to access my music...and i recently purchased a audio book for the wife, and i am waiting until i give her that audiobook for xmas; the i can ask alexa to read it to me ! ... i am sure alexa does so much more...(i even asked it to convert to metric for me when i was cooking last week)...i do not have any smart devices in my house, so i havent had the opportunity to have alexa do that for me...but it is so much fun to use...and now, instead if reaching for laptop to google something...i just ask alexa first",4.0
24910,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",The echo is great. It can run smart home products and play music.,5.0
24911,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",I pick it for one feature but it does so much more. I rave about it to everyone,5.0
24912,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","Alexa speaks clearly and gives comprehensive answers to questions asked of it. Having weather, sports and news on voice demand without having to type a request is terrific.",4.0
24913,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",I like this speaker.great product from Amazon.all what I need,5.0
24914,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",alexa is a great gift have given to family and friends always a great feedback,5.0
24915,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",So easy to set up and use. Very handy to have in our home. We use way more often than we thought we would.,5.0
24916,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",This probably the most amazing electronic device I have in the home. Only thing that would make it better was if I could connect it to sound bar for a little better sound but this thing will answer almost anything. Well worth the money. Everyone should have at least one - we have 2 now and will buy more.,5.0
24917,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","Although this got great reviews, I am still trying to figure it out. When it doesn't understand my question I rephrase it and sometimes even then Alexa still can't answer. I have been reading about how to get the most out of Alexa but I'm actually still on the fence about whether or not I will keep it. Am I missing something? What is it that others see that I don't?",3.0
24918,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","This is a great gift for anyone that loves technology. Great to listen to music, news, radio or for reference.",5.0
24919,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","A wonderfully designed device, but its use is fairly limited. I bought it primarily to use as a Smart Home control device. However, although it allows you to turn on and off lights, you cannot add timers to the control instructions. For instance, you cannot tell the Echo to turn off a light in 30 minutes; you can only tell it to turn it off or on immediately. Finding that out was incredible disappointing. I don't know understand why it would be so hard to add such a feature.",2.0
24920,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",I got this to specifically put in my kitchen to help me keep timers and convert measurements. The shopping list is an awesome addition as well whenever I finish something that I regularly use in my kitchen. Would definitely recommend for any cook and it's only going to get better with firmware updates!,5.0
24921,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Did every thing we expected. I think it is like having someone to help you. It has the weather for any city I need it for. Plays the music I want to hear,5.0
24922,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","have not used it yet but excited to try it, looks like it would be fun!",5.0
24923,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",The Echo is awesome! I purchased this with the intention of controlling my Hue Lights through voice however it has much more features than expected. My wife now turns it on daily for iHeart Radio. I purchased this almost 1 month ago and I'm still discovering new things with it. The only issue is there is no Plex app however I'm sure one is in the works soon.,5.0
24924,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","I didn't know much about the dot/echo but when a friend showed it to me, it seemed like a great gift for my husband who is hard to buy for. It's something you could live without but once you have it, you're so glad you do!",5.0
24925,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",While comparing to other competitive products the Echo appeared to be the best. Purchased as a gift for a family memeber.,5.0
24926,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Love this device would definitely recommend love it,5.0
24927,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","Bought this for the wife because she listens to music all the time. She enjoys the hands free aspect, especially while cooking. Myself and the kids enjoy messing with it by asking various questions - Siri is more fun to argue with though. pretty easy to set up and use, great gift for those who are hard to buy for.",4.0
24928,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","Finally stepped up to the plate and got into the Amazon Echo bandwagon; let me tell you, I don't know why I waited. Easy to connect, easy to teach it new skills, don't have to yell or talk like a robot myself to get it to work. My house is on it's way to the future!",5.0
24929,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",I didnt realize how much i would actually use this thing. she does everything. my 10 year old uses it for school. i use it for everything else.,5.0
24930,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","Love the Echo. Interface with Amazon Music is a great feature, and the application on my phone or kindle makes it easy to manage information or control the music. We use it mostly to listen to the radio or music library. Grand Daughter loves it because it will play whatever she asks (which is always Frozen Soundtrack).",5.0
24931,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","This was purchased to have a second Echo in the house. The first one I have was placed in the living/kitchen area, as I use it to play music, add notes (a lot of items to my shopping lists) and appointments/reminders to my calendar. I love having a second Echo in the bedroom to give me the news brief in the morning, give me a status of the traffic and weather conditions, play music, etc. I've noticed a lot of imitations popping up by different companies, however, Echo is the best and has become an integral part of our house and lives. It sounds dramatic, but it's definitely true. Amazon constantly updates and adds new abilities/features. The ability to link it to lights, thermostat, etc. let's me think we are keeping up with the Jetsons! Highly recommend buying an Echo!",5.0
24932,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","I love the Amazon Echo! I am using it everyday from turning on/off the lights, to listening to music, to sending me reminders. It is a must have!",5.0
24933,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",We received this as a gift and questioned its usefulness. After setup we feel in love with it. It is both fun and useful.,5.0
24934,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",having fun with it would tell a friend to try this one great sound,5.0
24935,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Haven't had time to play with it but am enjoying the music and some of the quizzes we played during a party,5.0
24936,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",I love it. Does everything I like. The daily joke is also a nice feature. Weather is up to date,5.0
24937,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","I have not figured out the full potential of this device. The sound quality is surprisingly nice for the size of the machine. If you order home products from Amazon on a regular basis, then this is the toy for you. All you have to do is say Alexa order laundry detergent. Boom, it is done and on its way to your house. So becareful when you are telling Alexa to order stuff.",4.0
24938,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","Bought as a Christmas gift, everything seems great.",5.0
24939,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","The purchase was primarily for my husband who is technology-challenged. He can now listen to the music he wants, when he wants. He is still experimenting with asking questions. You do have to be careful when talking about Alexa, because she will respond to your conversation.",5.0
24940,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",We only used this for music and playing games with questions with the Echo. Now we are using it to automate lighting in the home. A fun toy that has become a useful tool,5.0
24941,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Buy it!! I can whisper from across the room and it understands perfectly. The speaker is great too!,5.0
24942,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Very good product. So far working so good. Would recommend,5.0
24943,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","This device is fun and entertaining, easy to use .",4.0
24944,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",This is an amazing product. Enjoying it very much.,5.0
24945,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Everyone we know who bought echo has loved it. We are looking forward to learning all it can do! So far so good with ease of use.,4.0
24946,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Love the Echo!! Love that it's all voice command even the vloume!,5.0
24947,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","I bought my Echo to explore some new technology. When I walk in my house after getting off work I ask Alexa to play some music from my play list and there it goes. Alexa keeps me up to date on the weather, Emails me recipes, plays triva games and so much more.",5.0
24948,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","I haven't hooked it up yet, but i have herd nothing but great things about it.",5.0
24949,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",This device is easy to use and I like it very much.,5.0
24950,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",I would highly recommend this item. Great home speaker. Plays anything you ask. Also gives you weather info and about anything else you want to know!,5.0
24951,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Bought as a gift. Super excited. I hope it lives up to the hype. Can't wait til she unwraps it,5.0
24952,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","This Echo device is so handy. You can also program it to turn lights on and off in the house if you buy the extra accessories for it. You can play music, order take out , ask it questions. It is really endless what you can do with it.",5.0
24953,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","This incredible ""gadget"" does so many things it's hard to quantify. Just ask for weather, news, music, traffic...you name it. Plus, lots of fun interacting. Will put a smile on your face!",5.0
24954,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Bought as gift. Excellent purchase. Would buy more,5.0
24955,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Best electronic item in house. Great purchase. Good,5.0
24956,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Super clear and crisp sound very clear and if you like it loud this speaker rocks,5.0
24957,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","We love our new echo. Strong sound quality. Weather updates, alarm, internet details, and easy to use.",5.0
24958,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Bought echo at my store and was very exited however it's not what I expected... overall it's good but not for my lifestyle,4.0
24959,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",She works great. We have enjoyed trying different questions.,5.0
24960,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",Amazon echo is a great speaker if you love techy things! It tells you the weather and whatever else you would like to do!,5.0
24961,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","Love this device. It is so much fun to use. I listen to music including 60's classics. Get weather report, traffic report, late breaking news. I can control my lighting with Echo.",5.0
24962,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",My wife loves it and it's a lot of fun. The music is great and it's amazing how much Alexa understands.,5.0
24963,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",The Echo is everything expected. Lots of fun asking questions and quite handy being that hubby is full of them.,5.0
24964,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",We love having the echo in our home. Was going to be a Christmas present but we couldn't wait to use it. We like it so much we even took it on vacation with us. The shopping app is great. Jokes are pretty funny. She's great at history and I never miss my morning report!,5.0
24965,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,","I never thought I'd use the echo nearly as much as I do. It controls our lifx lights, tv with a harmony, light switches by wemu, and connects to our vivint security system. I love it. It's really cool. I bought one for my brother.",5.0
24966,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",We love it! So much fun for everyone in the family! We happen to have The Nest thermostat after a few try's I figured it out! Played some of the skills with my Grandkids it as just great fun!,5.0
24967,"Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,
Amazon Fire Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",very user friendly along with very low monthly cost to gain access to Amazon catalogs,4.0
