Unnamed: 0,Product,Review_Summary,Rating
25352,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","Echo is learning everyday and its uses daily, i use it in place of a speaker and connect my phone to it.",5.0
25353,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","Echo is learning everyday and its uses daily, the fact that's it Bluetooth is awesome.",5.0
25354,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","Speaker quality is better than expected, works well in the living room, convenient addition",5.0
25355,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Excellent product. It's well worth the money. I have my system linked to my Iris Security System,5.0
25356,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",This is our 2nd Amazon Echo already. We got the black in in our living room & this on outlr master's bedroom. They are amazing products!,5.0
25357,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","This is my 2nd Echo, and I also have two of the smaller Dots. Amazon has now enabled multi-room music playing, with all your speakers that you've designated perfectly synced with each other. It also serves as a good quality Bluetooth speaker so you can use it with any other app on your device for sound. I also use it to control my connected lights and can even operate my entertainment system through a logitech hub. And, the voice assistant Alexa is just getting smarter and smarter with every passing month. Get it on sale when it's under 100 dollars and it makes one of the most useful electronics purchases you could make!",5.0
25358,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","I was looking for a Bluetooth speaker to use to play Amazon Music, and this product allows to to listen to music and do so much more. If you have an Amazon Prime account you'll enjoy this product.",5.0
25359,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","This is my fourth Echo device and me and my family are loving it. We use it many times in a day for various things like weather, time, controlling lights and other appliances. New feature of Music grouping makes it even better for filling your entire house with music.",5.0
25360,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Now a device that is expandable and everyone in the house can use it. Works smooth. I am going to expand additional devices with this now.,5.0
25361,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",The Echo does everything it is advertised to do. Mine does things without a hitch that others have a problem with. Mine does lighting through my alarm system in a few simple steps. Works great!,5.0
25362,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Set up directions could have been more detailed. Works fine with Sirius XM.,5.0
25363,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","Amazon's voice-activated smart home speaker is undeniably futuristic, but it's also practical and accessible. With a rapidly growing slate of features, integrations and use cases, it's easy to get excited about the Echo's potential.",5.0
25364,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Had bought the Amazon Tap and then decided to try Echo and feel it's definitely a step up in ease to use and sound.,5.0
25365,"Amazon Fire Tv,,,
Amazon Fire Tv,,,",Alexis had to learn news skills before it was useful. Getting better,4.0
