Unnamed: 0,Product,Review_Summary,Rating
17214,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Its a nice little set up but it's slow. I wish I would have investigated them a little more before just jumping in.,3.0
17215,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",As long as apps are downloaded before leaving WIFI they work great for road trips or hunting trips!,5.0
17216,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Was a gift for our 8 year old daughter. Great for kids,5.0
17217,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",my grandkids love it. This is the 3 one we bought.,5.0
17218,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Great case ok tablet no Android play store. Weak micro usb port. It's isn't an straight out the box tablet. Had to install Android play store on it. And as far as the charging port goes I'm on my 3rd one but best buy are the best with their return policy...,3.0
17219,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Grandson became board with what it offers. Plug wears out fast,3.0
17220,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",This product wouldn't turn on nor charge and then store couldn't locate another one for me.,1.0
17221,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Grand daughter is two years old and watches her older brother and sister use their iPads. So we got her the Amazon Fire Kids Addition and she loves it. She has a great time with learning numbers and the alphabet.,5.0
17222,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",Perfect for educational games. The protective case sold me.,4.0
17223,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","Tablet is easy to use, however only allows 48 hours of offline viewing when movies are downloaded, then must be reset online again. This is an inconvenience. Other than that one issue, I am very satisfied with the tablet.",4.0
17224,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",My son loves this product and uses it all the time.,4.0
17225,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","My 3 1/2 year old grandson son LOVES this ""big game"" as he calls it.",5.0
17226,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,","Bought this for my Granddaughter, she absolutely loves it!",5.0
17227,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",My grandbaby loves hers. We gave it as a Christmas present!,5.0
17228,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",This tablet has been great. Although I recommend getting a memory card so you have no storage issues!,4.0
17229,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",It was the best Christmas Present for my grandson.,5.0
17230,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",She has learned how to play games and learning games. Easy to get to her apps and learned how to download. She charges it every night so it can be ready for her when she gets out of school,5.0
