Unnamed: 0,Product,Review_Summary,Rating
21541,"Echo (White),,,
Echo (White),,,","Although this won't be competing with the iPad or some higher end android tablets, this easily outperforms any other tablet in this price range. I also love the fact that, although this is made of plastic, it has a unibody design and great build quality; not flimsy like many other tablets at this price.",5.0
21542,"Echo (White),,,
Echo (White),,,","It meet my expectations. It performs well compared to other tables. I am very satisfied with the product and it quality. Lastly, it worth the price I paid for.",5.0
21543,"Echo (White),,,
Echo (White),,,","Very satisfied with this purchase. Fast, big screen and good resolution. Bought it for my son around Xmas and I got a very good deal too! Wish I had bought 2 at that price. ($100)",4.0
21544,"Echo (White),,,
Echo (White),,,",I love everything about the kindle fire but i would like a bigger screen,5.0
21545,"Echo (White),,,
Echo (White),,,",Could not download apps I needed to control my tvs,3.0
21546,"Echo (White),,,
Echo (White),,,",Great picture compared to my last kindle and love the camera option,4.0
21547,"Echo (White),,,
Echo (White),,,",This newest version of Fire works great! Responds fast to opening apps and speed of browser is quick. The color choices are nice too!,5.0
21548,"Echo (White),,,
Echo (White),,,","Full disclosure, I've only had iPads in the past. I needed an android based tablet as a 3rd party app that I needed was yet IOS supported. You get what you pay for. Build quality, touch and feel, yes it's equal to the price. Constant adds urging you to make various Amazon based purchases...not my cup of tea but I guess fills a price point and need.",2.0
21549,"Echo (White),,,
Echo (White),,,",Needed an inexpensive and portable Alexa device and this works perfectly.,4.0
21550,"Echo (White),,,
Echo (White),,,",This tablet is for our 9 year old grandson. It works out great for him to play games on.,5.0
21551,"Echo (White),,,
Echo (White),,,",This is the third kindle i have purchased they ate easy to operate,5.0
21552,"Echo (White),,,
Echo (White),,,","great tablet! pros: good size (especially for travelling) android based so 3rd party apps can be installedcons: amazon ads will appear instead of a wallpaper on the lock screen, apparently you can pay to get rid of them which is just ridiculous can be slow when playing certain gamesnot a lot of storage space",5.0
21553,"Echo (White),,,
Echo (White),,,",Love my new device! Great value for the money. Worth it.,5.0
21554,"Echo (White),,,
Echo (White),,,",t is cheap tablet option coming from amazon. Latest model will satisfy your needs,5.0
21555,"Echo (White),,,
Echo (White),,,","I have only used this a few times so far, but I like it. The lightweight and pretty easy to navigate. Perfect screen size too. I ended up purchasing a second one for my fianc.",5.0
21556,"Echo (White),,,
Echo (White),,,","This is an awesome tablet, fast, great HD display and has all the apps I need for personal entertainment. If you look for a great tablet for entertainment, surfing the net, or reading your e-mail, this is the best you can have. I also purchased a 128 GB SanDisk Ultra Plus memory card. I strongly recommend it, not for work but its great for entertainment.",5.0
21557,"Echo (White),,,
Echo (White),,,","The new tablet is great  nice upgradesLove how easy it is to use. Easy to get apps, shop and browse the web.",5.0
21558,"Echo (White),,,
Echo (White),,,",Purchased this Kindle Fire HD8 from Best Buy. My fianc downloaded her first book. She already started reading and said it is really cool to use. She said it is easy to see and navigate.,5.0
21559,"Echo (White),,,
Echo (White),,,",I had the original Kindle and just decided to upgrade. It is a very functional and easy to use.,5.0
21560,"Echo (White),,,
Echo (White),,,","Bought this tablet for my fiance daughter, after getting it home and set up, I decided to keep it for myself. Great screen and works great with my pair of Amazon echos. I love it and highly recommend it.",5.0
21561,"Echo (White),,,
Echo (White),,,",Am very happy with my kindle fire. Many options. Books that I had read on my kindle transferred over without any issues.,5.0
21562,"Echo (White),,,
Echo (White),,,","Stay away from the certified refurbished Amazon Fire TV. I received two Certified Refurbished defective fire TVs. The first the screen looked half corrupted, see the pictures. The second Certified Refurbished Amazon fire tv I received would not boot up, it was stuck in an infinite loop where I would only see the amazon logo for 10 seconds then it would boot up again.If anything, Amazon needs to re-visit its refurbishment process and quality control of the refurbished products they let get in consumer hands.Update 11/28/16: I purchased a new Fire TV during the BF sale and I have had no issues so far :).",1.0
21563,"Echo (White),,,
Echo (White),,,","I seriously wonder why it took me to get FireTV for so long. I originally had a Roku XS and then I stupidly bought a Roku 4. Both devices were all right but neither could handle 5.1 audio from Netflix on my Vizio sound bar (essentially your device must be cable of handling Dolby Digital Plus and nothing less using Roku). I finally decided to give FireTV a try and I'm amazed. Not only does it convert DD+ to DD on Netflix and HBO Go, I can install XBMC (Kodi) on it! I wish I knew about this before I bought my Roku 4 and HTPC. I now literally have no use for my HTPC anymore... FireTV can handle EVERYTHING now and all with DD and DTS 5.1 audio. Even better, I have a ton of smart devices and 3 Echos... I can now control all of these devices directly from the remote. This is seriously one of the best purchases I have made in the past year.",5.0
21564,"Echo (White),,,
Echo (White),,,","Love it, had the stick and it was kinda slow navigating. This one is much faster. Was going to use this and cancel cable. When I told my cable company I wanted to cancel and I was just going to stream everything they cut my bundle cost by 100. I kept cable but I also still use my firetv alot.",5.0
21565,"Echo (White),,,
Echo (White),,,","This box is wonderful, meets my expectations plus some. I gave up cable and tried it. I don't watch a lot of movies but this box comes with a lot of selections in my opinion more than basic cable, and if you have prime even more selections, theres a lot of free shows just download the apps for them.",5.0
21566,"Echo (White),,,
Echo (White),,,","I bought this thinking since we'd bought several other refurbished things that worked, that it would be okay. The box never booted properly so the only thing we could stare at was the Amazon logo and the words Unknown Boot in the corner. Customer Service tried to help with the box but we couldn't get it to trouble shoot. Sending this box back.",1.0
21567,"Echo (White),,,
Echo (White),,,","Certified garbage! Lesson learned about paying attention to reviews. Fire TV box and remote was packaged like new, even included new batteries. After plugging it in it would only show Amazon logo and 'unknown boot' on screen. Cycled power several times and even tried to reset using remote buttons, no dice. I read all the negative reviews before I purchased this, I chose to take the chance so I'm angry with myself, but very disappointed with Amazon for even suggesting this is refurbished, let alone certified, as if that means something.",1.0
21568,"Echo (White),,,
Echo (White),,,","I bought this after being an avid Apple fan for the last 10 years. I had old style two Apple TV's and even bought a new Apple TV to help with me cutting the cord to DirectTV after 11 years. I switch to using the Apple TV with the DirecTV Now streaming service. After the Apple TV would no longer let friends or family airplay to it because of new updates or let me load any third party apps I knew it was time to switch. It was a great switch to the Fire TV and I have not looked back. I have been able to load numerous apps that are not available on the Apple TV such as Showbox and Kodi. My biggest complaint was the Fire TV remote was not able to control the volume on my sound bar like the Apple TV remote and was not able to turn my TV or sound bar on or off. The Sideclick remote was exactly what I needed. I was able to program the remote to control power and sound level, along with change the input on the TV. I would highly recommend using the Fire TV.Pros:Works extremely wellAllows 3rd party app installationMuch cheaper than Apple TVAllows use of amazon music which Apple TV did notCons:Home page is not at visually pleasing as the Apple TVRemote does not have volume controlsRemote is not touch sensitive and has a very loud *click* noise when pushing buttons.",5.0
21569,"Echo (White),,,
Echo (White),,,",I bought this thing refurbished. I find that I have to unplug / plug back in the HDMI cable on a regular basis when switching inputs on the TV. Not sure if it is the Amazon Fire box itself or if it is the TV (Not likely).Otherwise it is a good device. I bought it for the ability to hard wire my Ethernet connection to my gigabit switch and for 4K capabilities which it does do. Having the Alexa app is handy but her features can be severely handicapped.I probably should have just bought it new..... usually refurbished devices work well as they are tested before resale and it was probably tough to catch that the HDMI port on these might be finicky. I may have to switch it out.,2.0
21570,"Echo (White),,,
Echo (White),,,",I love this product. Perfect size for travel. I take it everywhere. Great for watching videos as well.,5.0
21571,"Echo (White),,,
Echo (White),,,",Great little tablet once you get the hang of it. I bought this for my wife and she uses it daily without any issues.,4.0
21572,"Echo (White),,,
Echo (White),,,",Great price! Kids love it. Lots of space for apps!,5.0
21573,"Echo (White),,,
Echo (White),,,",My kids love the product. Really durable after drops.,4.0
21574,"Echo (White),,,
Echo (White),,,","It's was on sale on this color,put the play store and made it real Android tablet",4.0
21575,"Echo (White),,,
Echo (White),,,",Bought this for my son's birthday and he absolutely loves it. Great price as well.,5.0
21576,"Echo (White),,,
Echo (White),,,",My son love his kindle! Perfect size and good price,5.0
21577,"Echo (White),,,
Echo (White),,,",Great product. Highly recommended. Great value and great price,5.0
21578,"Echo (White),,,
Echo (White),,,",I wanted something small to read books on on the go. This fit the bill perfectly! Not to big and not to small. It does more things than I was expecting!,5.0
21579,"Echo (White),,,
Echo (White),,,",Upgrading from an older version. This kindle is so much faster. Love my new kindle.,5.0
21580,"Echo (White),,,
Echo (White),,,",I got a great tablet from a great company with excellent customer service.I love buying from best buy and i love the warranties they offer,5.0
21581,"Echo (White),,,
Echo (White),,,",The amazon fire provides an excellent budget tablet.,4.0
21582,"Echo (White),,,
Echo (White),,,",I bought this for my Grandkids and they absolutely love them.,5.0
21583,"Echo (White),,,
Echo (White),,,",The Fire Tablet has an amazing screen great price SIM card slot,5.0
21584,"Echo (White),,,
Echo (White),,,","Excelent product, cheap and great quality... love it",5.0
21585,"Echo (White),,,
Echo (White),,,",gave this to my 4 year old grandson he loves it learned to dl his games and loves to play it,5.0
21586,"Echo (White),,,
Echo (White),,,","Love the tablet, just wish they had included a booklet with it and not just an on line referral. Since this is not my first tablet I was familiar with things, but for a new user, I think a booklet of some sort would be a help",5.0
21587,"Echo (White),,,
Echo (White),,,","I am always happy with the products I purchased, especially the Kindle Fire. The are reasonably priced. I have 3; one is for my granddaughter when she she visits.",5.0
21588,"Echo (White),,,
Echo (White),,,","I used a couple of the brands that are just priced under this product and well...you get what you pay for! This tablet was much easier for my granddaughter to learn on. She can access her camera, pictures, videos, and games, much better than the ""other brand"".",5.0
21589,"Echo (White),,,
Echo (White),,,","Not the quickest tablet out there, but it does the job and you can't beat the price. Great for reading books and magazines or light Internet browsing.",4.0
21590,"Echo (White),,,
Echo (White),,,","Great price, very portable, fun for gaming, does the jub.",4.0
21591,"Echo (White),,,
Echo (White),,,",So far so good. Having an issue with one of them freezing. Might have to use it,5.0
21592,"Echo (White),,,
Echo (White),,,",It's good tab can download different apps without purchase just the bad thing is the charger doesn't work,4.0
21593,"Echo (White),,,
Echo (White),,,",Bought as a gift for dad. He loves it. Easy to use.,5.0
21594,"Echo (White),,,
Echo (White),,,",Great product for a great price. Can't get any better.,5.0
