Unnamed: 0,Product,Review_Summary,Rating
19161,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","I love the kindle, although do then to drop them. Always get the insurance and best buy makes it easy to replace them",4.0
19162,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Got this for my dad as a gift. He loved it! Great alternative to an iPad,5.0
19163,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",I love my original Kindle Fire but the size and features on the latest Kindle are a plus,5.0
19164,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","Easy to setup, easy to use. I've had another tablet, but it wasn't as easy and comfortable to use. For what I bought it for, it's perfect for me. It weighs less than a pound (compared to my other tablet), and I can read what's on the screen easier. Without a manual, the best thing you can do is play with it. I'm still learning this and expect to get rolling on it very soon.",5.0
19165,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Easy to use wide variety of functions awesome price,5.0
19166,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",I absolutely love my new kindle tablet!! I love the size and feel of it. It has auto blue shade. I can set it for what time I want it to dim.,5.0
19167,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","I can do everything I need on this tablet while traveling - check my email, browse the internet with the silk browser app, youtube, free app games etc. Because I have an amazon prime account as well, I linked my tablet to it so I can access a huge variety of free music, tv and movies. There are several offline options to load files onto the SD card, or to your tablets memory, so you can watch movies or use it as a mp3 player while away from internet. I watched a 2 hour movie on the airplane and only went through 30% of the battery power. Beautiful screen, loud speakers with the option for headphones. I have no reason to want anything more expensive, such as an ipad or surface since this does all I need while away from home.",5.0
19168,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","The Amazon fire HD10 is one of the best deals on the market. I've had a IPad and would rather have the HD10! It's what-1/3 of the price of a IPad and just as good, if not better",5.0
19169,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","This Kindle in the largest,thinnest yetfastestand most durable. We purchase the geek squad insurance with it kindly. Best decision ever.",5.0
19170,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","I think the kindle is the best value for the money, this is my third. Each model gets better than the last, I'm loving my 10.1. Comfortable to use does everything I need and beautiful video.",5.0
19171,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","This was an upgrade from my Amazon 7 inch. Bigger screen was the key for me. It's great for listening to music, reading books, watching movies, tv sports, tv shows and playing all the games. Hours of relaxation and entertainment along with Amazon ' s new Alexa.",5.0
19172,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum","Gift for my wife, she loves it. Reads on it all the time.",5.0
