Unnamed: 0,Product,Review_Summary,Rating
22783,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",great tablet for kids when traveling. my grandchild loves it.,5.0
22784,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","Bought this for my 2 yr old daughter. She was able to use it within minutes. She loves bed it, plays games on it everyday as well as we bought apps to read to her. She loves it all.",4.0
22785,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","Kindle products are fantastic. I've used a kindle & now have a Kindle fire. Use it everyday, so naturally, I would select a Kindle for my granddaughter.",5.0
22786,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",My little girl loves her Kindle. I'm so happy I bought an upgrade to her previous kindle. Best Christmas gift ever.,5.0
22787,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","My kids have grown up with technology in the house and their original tablets have started to become outdated. We have since switched to these fire tablets to help extend their gaming. While if they have never had a tablet before the speeds are OK but Im afraid the processing power of these ""kids"" versions might lag over a short amount of time and they will just become a picture viewer. Time will only tell.",4.0
22788,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","This is the second Kid's version of the Fire that I've purchased and I think it's a good deal. Since it's really for my kids to watch Netflix - I was looking for a cheap option. I thought about getting the $50 option, but I would have bought a case and paid to turn off the ads anyway. So adding it up, I feel like I didn't spend much more than I was going to anyway - AND I get the 2 year warranty included. Not bad in my opinion. And it does a fine job with Netflix streaming so far.",4.0
22789,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","Keep your child entertained with this Amazon Fire Kids Edition tablet. Thousands of child-friendly e-books, TV shows, games and educational apps accessible through this tablet engage your child in a healthy way, while its kid-proof case prevents easy damage. An expandable memory of up to 128GB on this Amazon Fire Kids Edition tablet provides plenty of storage. movies,",5.0
22790,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",My son is 4 and he loves it. Super easy to use for kids.,5.0
22791,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",A Kindle that has a case to help with drops. Purchased on sale during Black Friday. Great deal on a great product.,5.0
22792,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",My grandaughter is enjoying this tablet. I would recommend to all parents for their young kids.,5.0
22793,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",the tablet is just the right size for our granddaughter. she loves it. she can play her little games and has so much fun with it.,5.0
22794,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",This is a huge hit as a gift for my 3 year old daughter.,5.0
22795,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",We love the parent controls and durability. We would definitely buy another.,5.0
22796,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","I love this solutions for my kids. I gave it a four star rating because in order to install Apps you just have to tap the icon. Well my Two year old and five year old went tap crazy, like a Kangaroo on a Pogo stick. Needless to say the ran out of room quickly. I tried to teach them to not launch apps that weren't installed but they still have a problem discerning what is installed and what isn't. Aside from this, it is a fantastic device for kids to play and learn with. I especially like the parental control features. I just wish they would put in a feature for controlling what gets installed.",4.0
22797,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",My son really enjoys this. Its his first tablet(he is 4) and had no problem learning how to use it.,4.0
22798,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",The grandkids love it they spend time playing the games they like.,5.0
22799,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","I bought this for my daughter. It was bundled with a solid bumper case and has a kid mode interface. She insisted on using her brother's iPad constantly. Not to say there is anything wrong with this product, it just wasn't for her.",3.0
22800,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",My daughter loves this. There are so many settings and you don't have to buy every app individual. So many books and educational apps :),5.0
22801,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",My son loves his tablet or at least that's what he calls it,5.0
22802,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","This tablet has so many apps with games, movies, and books that it keeps my nephew entertained for hours on end.",5.0
22803,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",This is great for any child. Love the parental control and way it holds up. Definitely recommend,5.0
22804,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case","I got this for my kid, because it is tailored for kids. They liked it and it worked.",5.0
22805,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",This is a great tablet. Power connector could be better.,5.0
22806,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",My granddaughter loves this tablet. She is two and has no problem playing the games and using this tablet. It's very user friendly and keeps her busy for hours.,5.0
22807,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",The Amazon - Fire Kids Edition is a great device for kids and parents to entertain kids during long or short trips,5.0
