Unnamed: 0,Product,Review_Summary,Rating
15529,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",The tablet is very light and streams well. I only use it to stream movies and it's much ligher then an iPad so makes mobility that much better.,5.0
15530,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Like how I was able to buy a version with more memory. Love this works great.,5.0
15531,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","This is a excellent low cost tablet. bundled with Amazon ecosystem. Low cost. responsive. I use it for light web browsing and making orders on Amazon. Also easy to stream video using amazon video prime, Netflix Hulu, and HBO Now.Easy Access to all my Kindle Books and more memory than the 8GB version",5.0
15532,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",This has been a great purchase. It fits all my tablet and e-reader needs.,5.0
15533,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","This was a birthday present for my sister, and she had no trouble getting it set up for use. I was happy to find one with 16GB, not an inadequate 8GB. My other purpose in buying it was to test (on a cheap machine, just in case!) a procedure for installing Google's Play Store. That was a success, and I got a Fire HD 10 for myself.",4.0
15534,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",First got the fire stick so the tablet was a great addition.,5.0
15535,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",For a cheap starter tablet it's fine. Bought it to replace a cheaper kids tablet and it'll do for that.,4.0
15536,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","I wanted to upgrade my Kindle Fire - First Edition. This one is really nice. Graphics are superb as is the speed in loading. I don't know, yet, what else it can do as I haven't explored it thoroughly. It's like a mini lap top and has a camera that takes very clear pictures and has wireless connection to the internet.",5.0
15537,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Was looking for something small I could use to get on the Internet and check emails and this is prefect for that,4.0
15538,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon - Fire 7 Tablet 16GB has been easy for me to learn how to use. I like that I can read free books from the library. It has everything I wanted and is a nice size for holding.,5.0
15539,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","This is the second Amazon Fire 7 tablet I have purchased, this time in a color other than black. This, like the first, has met all my expectations.",5.0
15540,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Too many advertising and too many pages to sort through.,4.0
15541,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Would have gotten 5 stars but the screen is to light when put on dark screen for reading. All the adds make it feel cluttered but that might just be me. Over all for price it is a nice ereader.,4.0
15542,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","Good tablet for my daughter! She loves it ,but she gets annoyed how the battery runs out quickly!",5.0
15543,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Great product. Great price. I'm reading more since I started using a Kindle.,4.0
15544,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Tablet is very easy to use and navigate the internet,5.0
15545,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",She love it. She said it easy to use.She love it very much,5.0
15546,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","If reading is what you do the most with your tablet, this is good choice!",4.0
15547,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",I bought this primarily to be used as a Kindle eReader and this is a good product for this cost.. The only drawback is that I cannot access all the apps available on the Google PlayStore and have to be content with what is available on the Amazon app store.,5.0
15548,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",I had a Kindle Fire and upgraded to the 5th generation. Could not be more pleased with this tablet.,5.0
15549,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","I love, love my kindle fire magenta. the color is awesome this is a truly the best kindle fire I ever owned . the colors availablesare awesome .",5.0
15550,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Great tablet. Perfect for my 8 year old son!!!!!!!!!!!,5.0
15551,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case","this is a steal, have 8 gb model as well.This has more punch..",5.0
15552,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",This tablet has been so good that I bought 4 so far.All my nephews and nieces have one and they are loving it.,5.0
15553,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",I normally read my ebooks on my phone but my son beoke his tablet and so I gave him mine and bought a kindle for myself. I must say that I cant put it down i love it so much.,5.0
