Unnamed: 0,Product,Review_Summary,Rating
162669,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",Very good and attractive delicate one can go for it rich look,4
162670,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",Just amazing dinner set. The quality of the product is excellent. Proper packing... Everything is okay.... I love it. Thank you flipcart.,5
162671,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",Lovely dinner set... All r in good condition & the packaging is very good. The quality of the set is also very nice.. I liked the product very much.,5
162672,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)","1.  Good product in cheapest price2.  But not that much good quality.3.  Cello company is CELLO as a brand made its inception through its founder Shri. Ghisulal Rathod in 1974. Cello started its journey making Thermoware for Indian kitchens from a small factory at Mumbai, in 1986. Today under the able stewardship of Shri G. D. Rathod, along with his sons, Shri Pradeep Rathod and Shri Pankaj Rathod,have successfully taken the group into its next generation further with his grandson, ShriGaur...",4
162673,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)","It's too good, received in good condition. Packaging was very nice. I'm so happy. I really liked it. I was searching for 18 pieces opalware dinner set and when I got this on Flipkart, I placed order thinking that whether my product would reach to me in good condition. I'm so thankful to Flipkart that I got the product in physically good condition. Packaging was very nice. All of my family members liked it very much.",5
162674,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",Great Product.. !! It's Nice and Strong dose posses all that quality as its been described in description.. !! I'm very Happy thanks Flipkart.. !!,5
162675,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",Love this product ð..same as shown as this picture..and love with it's packaging too.. really it's packed very very well.. thank you Flipkart for this amazing product â¤ï¸,5
162676,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",Correct product delivered...Packaging was brilliant ..Quality of product is excellent only thing is the bowls r of small size..otherwise its good to go!!,4
162677,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",Very good iam happy it's very beautiful and packing is very good,5
162678,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",Worth the price! such delicately packed item and it was delivered with utmost care. the quality of the bowls and plates is 10/10. Really happy with it's packing style and the service. best from Flipkart!,5
162679,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",quality is awesome but full plate is just like a half plate very small half plate is like tea plate thats why im little desipointed.,4
162680,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",It kinda good product. Bt i think the sizes are little small. Bt its good quality. Love it.,4
162681,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)","Got the product yesterday. Perfectly packed, 5ð for seller for the best packing and seems good quality product.Surely a value for money. Will update review after the use.",5
162682,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)","Super and strong air bubble strip packing. Product is good and the design is same as shown. Good delivery by flipkart boy, taking care about the fragile product. I don't know the durability of the product. I'm still going to use. I got this product in very cheap price. Thanks flipkart.",5
162683,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)","nice product , fast delivery and good packing.. Thank you",4
162684,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÂ Â (White, Microwave Safe)",I liked it. It is really nice one and  I got it at affordable price.. very happy.,5
