Unnamed: 0,Product,Review_Summary,Rating
37396,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Functioning good. All bottoms are working properly.,4
37397,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Good,4
37398,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Nice product good quality,5
37399,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",working nice and good product,5
37400,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Super,5
37401,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",V Good,5
37402,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Good ??????,5
37403,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Very nice.. It's working well,4
37404,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Ok,5
37405,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)","Thank,s",5
37406,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Good remote  working good on my airtel hd box,5
37407,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Good,5
37408,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)","The infra-light is not very powerful, in spite of new batteries.",3
37409,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Super,5
37410,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Looking good,5
37411,"7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recording Compatible for original Set top or Setup Box Digital tv Remote Control AIRTEL Set Top Box, AIRTEL Xstream - Android TV Set Top Box Remote Controller?ÿ?ÿ(Black)",Good quality to prices,5
