Unnamed: 0,Product,Review_Summary,Rating
176117,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)","An elegant easey to assemble  wall mount stand for keeping thing to keep it safe from kids and space saving ,more than worth it cost.suggest apply areldite or stron glue to to joints after assuming for strudiness to keep heavy objects",5
176118,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)",Awesome,5
176119,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)","Big in size, Thanks flipkart",5
176120,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)",Very nice product,5
176121,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)",Vry nyc product as shown in d picture,5
176122,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)",Good quality ......price is high .....easy to fit,4
176123,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)",Good,4
176124,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)",Nice product. ...but  hangging hole so weak ...it vry difficult to attach on wall.,4
176125,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)",Very nice product,4
176126,"ANTIOUE MART Wooden Set Top Box Stand Wall Mounted TV Cabinets Wall Selves Holds Speaker, Cable Boxes, Streaming Device, Game Console, Remote, WiFi Router Wooden Wall Shelf?ÿ?ÿ(Number of Shelves - 3, Brown)","The quality is very poor, Its a very basic plywood not even laminated. Just painted with white paint. And the worst part is the hooks on the rear side. Screw doesn't fit in the hook even one of the hook broke down. Had to fix with additional hardware material.",2
