Unnamed: 0,Product,Review_Summary,Rating
77920,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Received parcel in good condition and it's good with package as well. Gonna use soon hoping for a well and greta result also.,5
77921,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Like this,5
77922,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good ???,5
77923,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Nice quilety,5
77924,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),WASTE PRODUCT because It got stopped working with in FEW DAYS. Waste of money,1
77925,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good products,5
77926,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Very hot very fast,5
77927,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,4
77928,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Quality is poor,2
77929,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Not well,2
77930,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good ???????,4
77931,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),"Superb,,,,,",5
77932,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Nice products,4
77933,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),It's good,4
77934,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good products,5
77935,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,3
77936,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good condition,5
77937,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,4
77938,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,3
77939,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good product  very nice ??ø??ø??ø??ø,5
77940,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,5
77941,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Very good,5
77942,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Super,5
77943,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Nice ???,4
77944,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Super fast,5
77945,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Happy,5
77946,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,5
77947,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),good,5
77948,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Ok,4
77949,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Nice,4
77950,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Very Nice,5
77951,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Very nice,5
77952,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good product. Good quality. Worth for the money .,3
77953,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good product,5
77954,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),It's just good,3
77955,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good quality,5
77956,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,5
77957,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),This product is very nice,5
77958,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,5
77959,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Very good,4
77960,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Very nice ?????????,5
77961,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Not working,1
77962,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Nicely working.very good product,5
77963,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Thanks ?,4
77964,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good product,5
77965,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Value for money ???,4
77966,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Wrist product after one week not working don't buy it's genuine report,1
77967,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Ok,5
77968,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Worst product No Standard Useless product,1
77969,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Nice product ??????,4
77970,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Very good item,5
77971,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good product ????????????,4
77972,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Good,5
77973,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Very  Nice         Just Average I Like  It      .Good,5
77974,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Super,5
77975,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Super product,5
77976,ANTRONIC Premium Quality 2000W 2000 W Immersion Heater Rod?ÿ?ÿ(Water),Thanks sir an medam,4
