Unnamed: 0,Product,Review_Summary,Rating
59408,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)","My first openion is super laptop. And most effective is specialy RGB light . OR smooth display , it's a best budget gaming laptop.",4
59409,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)","Pros: Great performance, boots up in 8 seconds, can play most games in high settings, the rgb keyboard is a beautiful sight to look at, screen looks great with the ips display and 144hz. Cons: Battery is poor, only lasts 1 hour approx on normal usage, the cpu can get around 95 degree while playing games but you can decrease it but using throttlestop, also it has Bluetooth issuesOverall not recommended, better get hp pavilion ryzen 5500h",3
59410,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)",I got it for 46990 during bbd....body and design is superb....but i am dis satisfied with the display ..i have a msi laptop...100% brightness on TUF is comaprable to 50% brightness with my MSI GL63-8RC.and it needs improvement in the speakers synchronization...MSI speaker are much louder and better than ASUS Tuf...apart from this its good under 52k..above that go for MSI,4
59411,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)",A really good laptop for gaming and work purposes also works for studies and coding.. The performance is really awesome and unexpected but one one issue found.. display turns on and off while turning on laptop(after login) and even while putting on charge. Else its value for money good product.,4
59412,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)","Absolutely worth for money, Laptop performance is beast ð¥ð¥Buttery smooth in online games like valorant ,fortnite.60+ FPS in triple A gamesLike Spiderman remastered ,gta V ,batman arkham knight and many moreNice design. ,go for it",5
59413,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)","It's a 4.5 out of 5 Pros - 144Hz is smooth for gaming - GTX 1650 Does the work with excellence and you can run games like Valorant, Warzone etc and applications such as After Effects - 8 GB Ram is enough but you can consider upgrading to 16 GB later - The design is really good and even the option to control RGB lights is pretty nice - You can easily do all the multi-tasking with this laptop - There are no lags during normal use or even gaming Cons - The battery life is average or ma...",5
59414,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)","Poor delivery service, denied to follow open box policy service, I've received the product by reaching my self to nearest hub, made me to travel nearly 10km for reaching the hub, doesn't even provided a correct address to reach the hubBut regarding the product it  was no doubt a value for money",1
59415,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)","Best laptop for vedio editing,it supports adobe premiere pro and after effects and even all the apps available in adobe creative clouds",5
59416,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)",I bought it for reasonable price and the laptop was pretty good after 1 month of full usage i will give full review of the laptop,5
59417,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming LaptopÂ Â (15.6 inch, Black Plastic, 2.30 kg kg)","Absolute beast GTA runs smooth CSGO easily 200fps + on high settings and anything above 144fps is good.Display is good, speakers are good. The battery is poor you have to plug it in while gaming or put it on 60hz and battery saver to do casual work without charger. Boot time too damn quick.Only thing that I felt bad was the delivery guy was not trained enough, he was asking me to give the OTP even without checking, then I reminded him this is open box delivery, he says why do you buy f...",4
