Unnamed: 0,Product,Review_Summary,Rating
37656,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good,5
37657,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Best product,5
37658,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good,5
37659,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)","Ok, plastic quality is not good",3
37660,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good,4
37661,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Super,5
37662,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",nice,5
37663,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Thumbs up.. good,4
37664,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Quality of this remote is awesome,5
37665,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Very light weight,2
37666,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good,5
37667,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Nice,5
37668,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Superb,5
37669,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good product,5
37670,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Nice product,5
37671,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Excellent working,4
37672,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Avarage,3
37673,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)","Keys not functioning, second remote purchased in 10 days.  Very bad quality product, do not buy it.  Better call airtel customer care and order for remote.",2
37674,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good,5
37675,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Super,5
37676,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Followed the stick paper instruction and also the instructions on the back of the remote and this set top box remote works perfectly.???,5
37677,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Nice,5
37678,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good,3
37679,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good one,5
37680,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Great,4
37681,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Burned cell not satisfied,1
37682,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Not  working ??????????????????,1
37683,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",A good product,4
37684,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Nice...worth money,5
37685,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",This is a perfect product. I used many remotes from market but all proved useless. It works well and remote is original. ????????Thanks flipkart and the seller,5
37686,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good,5
37687,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good,5
37688,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Nice quality,4
37689,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Okay,5
37690,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Remote not working properly.,1
37691,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good products,5
37692,"Airtel Dth Settop Box Airtel TV, Airtel set up box, Airtel HD TV Remote Controller?ÿ?ÿ(Black)",Good Product..,5
