Unnamed: 0,Product,Review_Summary,Rating
86620,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))",Excellent product. Nice and sturdy and made of good quality materials. Comes with very handy and cool features which makes this study table a must buy for little ones.,5
86621,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))",This product deserve more 5 start rating. Excellent quality and durable. Super fine finishing.I bought it for my daughter. She is very excited.,5
86622,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))",Excellent product... Go for it without a second thought...  It is a long run investment. Sturdy and perfect product.My little one loved it... â¤ð¥°,5
86623,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))","Excellent product..  can be used till 15 year of age,  nice quality, conferrable hight adjustment, doesn't require much space.. totally awesome product.",5
86624,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))",Size very small and price so high,1
86625,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))",Super very good for 5 years to 13 the table is adjestable and chair is adjective  super,5
86626,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))","The product is too good and strong, thanks for flipcart",5
86627,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))",Good quality and delivered on time,5
86628,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))","Product is very, very good",5
86629,"Alex Daisy Universal Plastic Desk ChairÂ Â (Finish Color - Pink & White, DIY(Do-It-Yourself))",Product is very good but two nutbold not getting fit so little bit disappointed,5
