Unnamed: 0,Product,Review_Summary,Rating
49919,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)","Awesome product and wow quality only thing is, there were no stars in the pack,items contain in pack are one moon, 2 doremon, happy birthday set, and lots of balloon ð Very happy and satisfied.",5
49920,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",It is very nice,5
49921,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice,5
49922,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Good product,4
49923,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",It's best decor for kids I loved it. Must buy,5
49924,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Awesome ð,5
49925,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Good,4
49926,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Superb quality,5
49927,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice,5
49928,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Best products & affordable price,5
49929,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Good,5
49930,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Super,5
49931,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice ð,5
49932,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice product ð,5
49933,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Awesome ð ð I got before time. Thank you Flipkart,5
49934,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Ameging,5
49935,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Amazing product..moon is missing âºï¸âºï¸,5
49936,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Awesome,3
49937,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice product....,5
49938,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice product,5
49939,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",I am happy with my the quality,4
49940,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Superb,5
49941,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Good ðð¿,4
49942,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Very nice,4
49943,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Wow very very very nice,5
49944,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Almost  ok...but I got 8 pinhole balloon,5
49945,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Very nice,5
49946,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Value for ð°,5
49947,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice product useful,4
49948,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice product ðð,5
49949,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Good,4
49950,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Veri beautiful product,5
49951,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Must buy guys,4
49952,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Nice,4
49953,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Wastage of money,1
49954,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Good ð¥°,5
49955,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Good,5
49956,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Superr,5
49957,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",It was absolutely good....my family like it,5
49958,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Not setisfiedðððð,2
49959,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Awesome,4
49960,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Not bad,3
49961,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Worthy product,5
49962,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Good product,4
49963,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",As it is same to picture.... Fully satisfied.,5
49964,"Anayatech Solid Doreamon combo with star happy birthday combo- happy birthday foil balloon,2 doreamon foil balloon,2 blue star foil,2 silver curtain36 blue and white balloon-pack of 50 BalloonÂ Â (Blue, White, Pack of 51)",Waste of money...,1
