Unnamed: 0,Product,Review_Summary,Rating
108222,Art Silk Self Design Maroon Men Dupatta,Good,5
108223,Art Silk Self Design Maroon Men Dupatta,Vevery good product,4
108224,Art Silk Self Design Maroon Men Dupatta,Good,4
108225,Art Silk Self Design Maroon Men Dupatta,Super,5
108226,Art Silk Self Design Maroon Men Dupatta,Nice.,3
108227,Art Silk Self Design Maroon Men Dupatta,Good product very nice,5
108228,Art Silk Self Design Maroon Men Dupatta,Very good,5
108229,Art Silk Self Design Maroon Men Dupatta,Nice,3
108230,Art Silk Self Design Maroon Men Dupatta,Super,4
108231,Art Silk Self Design Maroon Men Dupatta,Nice,5
108232,Art Silk Self Design Maroon Men Dupatta,Nice,5
108233,Art Silk Self Design Maroon Men Dupatta,Nice,5
108234,Art Silk Self Design Maroon Men Dupatta,produt no best,1
108235,Art Silk Self Design Maroon Men Dupatta,but clothe is not  good,3
108236,Art Silk Self Design Maroon Men Dupatta,Mind-blowing ð,5
108237,Art Silk Self Design Maroon Men Dupatta,Very nice,5
108238,Art Silk Self Design Maroon Men Dupatta,Excellent,5
108239,Art Silk Self Design Maroon Men Dupatta,Nice,5
108240,Art Silk Self Design Maroon Men Dupatta,Must,5
