Unnamed: 0,Product,Review_Summary,Rating
46092,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Overall Fan is good, first i was afraid for ordering this fan because its not that popular and without checking it was risky.But my decision was right and i ordered it.Fan is too good speed is awesome but its lightweight and i really like to se doesn it will affect my electricity bill.After three months i will again repost about it.",4
46093,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)",Excellent Fan. Made in India. Fan works Good allover and good airflow. Remote control works super.,5
46094,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","This is my second fan from atomberg, super quality, energy efficient. Performance wise 5/5.Look wise 5/5.And 5 special stars who designed the fan.The first glimpse of the fan, and automatically you say wowwww....* * * * * *Customer reviews build something known as social proof.* * * * *Responding to reviews is one of the most important things a brand can do to improve its reputation and local SEO rankings. * * * * *",5
46095,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Today I fit my Gorila Fan date is =22/02/2020..According to me today I watched it super , great...But don't know how long it will run ...If it give me long life I promise again I will buy 2 piece Bcz I really like its power consumption and remote , LED look  gives my room a  great look ...I wish it Will run long time Start date= 22/02/2020..Ok lets seeEverybody I want to say no tention easily purchase it..great fan ofcourse I will buy another one",5
46096,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Selected this fan from Gorilla for gifting after going through the positive reviews. My expectations were fulfilled by this fan. After fitting, it looks different from regular fans. Speed is very good and there is no sound even at high speed. Blades are designed in such a way that, air flow is uniform. Blue LED lights indicate the speed whenever we press the remote button to increase or decrease the speed. LED lights can be switched off or kept on. Very light weight fan, so very easy to fit. ...",5
46097,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Highly Recomended. Very good speed, quality product with the best standerd quality air blowing. Delux air comfortness.This is my best choice.No sound and noise. Only air sound.LED is also good.Remote control is very sweet.It carry a very nice looks.Big matter is motor is very good, with minimun watt. It consumes only 28 watt with very good speed. Its speed is awesome. You can not see its blades when it is in the running condition.You may buy it blindly if you want to save electricity ...",5
46098,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)",Pros:-Super Efficient at only 28 WattsSleek design and transparent buttom with indicator LEDsVery useful remote control with awesome featuresAir delivery is good and the noise level is less compared to other fqns at this sizeCons:-Price is little bit on the expensive sideThe main motor body has some plastic builds which doesn't feel premiumAt full speed there's a clicking noise which is not that loud but its there.Conclusion:-It's definitely a good product and it does works flawless...,4
46099,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Selected this fan from Gorilla for gifting after going through the positive reviews. My expectations were fulfilled by this fan. After fitting, it looks different from regular fans. Speed is very good and there is no sound even at high speed. Blades are designed in such a way that, air flow is uniform. Blue LED lights indicate the speed whenever we press the remote button to increase or decrease the speed. LED lights can be switched off or kept on. Very light weight fan, so very easy to fit. ...",5
46100,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)",Best Energy Saving Fan everâ¤â¤...Speed is so nice..covers all the corners of the room but it's for small & medium size room (Approx 100 - 140 sqft)...Looks so premium .With led lights it becomes more eye catching ð...It consume only 28 watt (Boost Mode 35 watts)...with cute tiny remote it becomes so easy to operate..Sound is lesser than other fans...Also u can buy spare parts on Atomberg official website...Overall loved it.proudly says that it's Made in India By the IIT BOMBAY Alumnið®ð³ð®ð³â¤â¤,5
46101,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Very good fan. Good air delivery. Runs smoothly. Air throw is equal to usha high speed celling fan. Speed is equal to general high speed fans. Worth buying. I am satisfied.U need not go for renesa +. All are same to it...speed, functions air delivery....all. just glossy colour is better in plus while it is matty finished. I dont think one should spare 350 extra money just for colour,  which is not visible at running condition.",5
46102,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Its a good choice.Delivery: delivered in time as informed.Packing: was very good Item performance: it's great, stand out product than all other conventional fans, power efficiency I hope will be there as mentioned, remote and lights are great.in short, a good choice, hats off to its manufacturers , the  IITans..I read u r in a way to make AC with less power consumption, eagarly waiting for it.",5
46103,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Got this product with nice packings ,all parts are intact.fan looks primium,light weight, functions are fabulous,super fast speed with ease of remote control for the sleepy heads,just go and own this luxury with 3 years of warrenty",5
46104,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","Very stylish and modern design. By the way, this fan is a dust magnet - my normal fans does not attract this much dust as this does :DAtomberg could have provided a remote holder too. I have see a holder packed with some other brands of BLDC fan. Remote is cute though. I just 3D printed a holder for it and fixed at the location where the fan regulator was removed. If the remote control was RF based I should never had to remove it from the holder.The speed is acceptable and the energy cons...",4
46105,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)","A nice-compact fan, with high RPM, remote control, LED lights and energy efficient with 5 star BEE rating. Easy to install, no necessity of an electrician. Regulator can be removed from the switch board, not required for this fan.Very silent, just the sound of wind comes. Yes, LEDs can be turned on/off from the Remote. Battery for the remote is included.",5
46106,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)",There is everything good about the fan except that it is not dust proof. The Air flow is good . Looks sleek & Good. Remote is small and fine . One thing you must remember that you have to disable your regulator after installation and keep it on full . Then disconnect it. Once installed you have to use all functions only through remote. Price appears to be on the higher side but that is the trend with most remote control fans. Power consumption needs to be checked.,3
46107,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)",After using one month fully satisfied. Remote is  working well . Led is using to night lamp if you needed. Smart air flow more than my old one. Easy to installed myself.FM signal signal interfere with when fan is working time.When fan also working at same speed after power failure but light Lamp is not on after power failure.,5
46108,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)",Excellent fan. Low power consuming fan at a marginal premium compared to other normal fans. Makes much less noise. Looks better than normal fans. Comes with a remote control for lazy bones like me. Also has sleep and timer features in addition to small leds which work like night lamp. What else can one ask for in a fan. Bought two such fans over the period of last 6 months and planning to replace all the existing fans of my home with this one.Very quick delivery despite lockdown. Kudos to fl...,5
46109,"Atomberg Renesa 1200 mm BLDC Motor with Remote 3 Blade Ceiling FanÂ Â (Ivory & Black, Pack of 1)",terrific product 100% satisfied thank you seller and thank you flipkart and delivery team is awesome,5
