Unnamed: 0,Product,Review_Summary,Rating
123681,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","Awesome microwave within a perfect price.I am using it for last 13 days and I must say that,this is working perfectly good.My only advice to all of you specially who were going to use the microwave for the 1 st time,that stricly avoid any kind of metal to use in it,though it is clearly written in the book comes with it,but after everything I want to warn you that don't use any kind of metal to avoid any of temporary/permanent damaged.Except this,everything is just fantastic.",4
123682,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",This is one of the best budget microwave available in the market and the pricing of the product on the offer period makes it more pocket friendly to the users. Now there are products that are available at a creeper price to but this is a trusted brand and you can buy the product without thinking much about the after sales tension like repairs and maintenance.,5
123683,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","We've been using this MwO for over a month now, almost daily and for every meal. It is the perfect heating device for a small family like ours (3 of us). We have another much bigger and fancier one in the kitchen, with grill, convection, etc., purchased with a lot of enthusiasm but hardly used.The idea is to keep it near the dining table. Because all that most of us do with it is heat food just before eating. This one does the job perfectly well, besides cooking the occasional idli, egg p...",5
123684,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","This is a basic but up to the mark microwave by Bajaj. Its 17L but is sufficient for normal usage like heating up food. I go one step ahead and prepare ghee as well as cakes in it, I am super thrilled with this product. Moreover delivery was prompt by Flipkart and the Bajaj Customer Care people called immediately for a demo of the product. For the price above, its totally worth it.",5
123685,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",Very good at low prices.It Good! It Good! This is Very easy to use for all family members. Very nice to design and view. It takes up very little space to keep in the kitchen. I am happy and satisfied for this.,4
123686,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","Don't even bother about any other solo microwave model. flipkart you flip my mind with ur Good service, responsible people & Bajaj (can't beat them in customer service). besides the height , width & weight of this product is like feather. You/mum/dad/younger siblings can move it anywhere you like in any corner & such a sleek model.",5
123687,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","Well , while buying this microwave I didn't actually know what a convection , grill or solo microwave meant . Please research on different types of microwaves available in market and decide before hand what type you want to buy.This microwave doesn't come with bells and whistles . It has simplest of the controls ( power setting and timer ) . You choose according to your need ( Based on trial and error ) . Rest everything is average including build quality , asthetics etc.",4
123688,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",Good,3
123689,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",I have been using this from past almost 2 yrs now. Works absolutely fine. Perfect for daily kitchen needs. Just keep the interior clean to avoid food odours. Recommendation from my side.,5
123690,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","Excellent product within this low range , very simple to operate but very useful , I am great satisfied with this product",5
123691,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",Awesome product everything  is awesome  on that oven like it hope all will like it,5
123692,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",delivery was fast and secure packing and wishmaster was also well behaved and polite,5
123693,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",Good MW for a decent price. Good for small home and quick heating.  Ideal for someone who needs a basic model and focuses on functionality more than looks and convenience. Happy with flipkart as always.  Have taken extended warranty for 2 years.  Peace of mind for 3 years.,5
123694,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","Good quality product. Happy with the purchase. Only issue I faced is sometimes, the eject button get's stuck, and does not come back automatically. Otherwise, no issues at all. Flipkart's delivery and service was quicker than expected. Good and safe packaging. Overall, satisfied with the purchase.",4
123695,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",It's a very nice oven.. I also baked pizza.. It's a good product.. I got it for 3500 from flipkart.. Worth the deal,4
123696,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","Just got delivered sometime ago, looks great one and working so well more than expected, worth purchasing the item!! Happy with it and great delivery!!  Thanks flipkart",5
123697,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","The product is very nice this is my second purchase of the same model ... Gift for my sister , it's very easy to operate and long lasting . Flipkart offering a great deal and superb timely delivery",5
123698,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)",Extremely satisfied with this model of Bajaj Microwave. I bought it @Rs.3490/- quite best price I got from Flipkart & using since last 3 months without no error. Working extremely fine for a small family of 2/3. I recomend this model to buy for daily use.,5
123699,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","Jun 05, 2018 01:46 PMÂ 106In todayâs fast life, we have to freeze all the cooked food. When we need to eat this frozen food, we defrost and make it hot in this Bajaj microwave oven. This oven is very handy and can be used not only to defrost cooked food but for even first time cooking. This oven is fast and trouble free, easy to operate. It cooks without the messy feeling we get when cooking on the stove. Its quite sturdy and for Rs 3799 it is worth it.",5
123700,"BAJAJ 17 L Solo Microwave OvenÂ Â (1701MT, White)","Best product at this price..thanks fk and Bajaj for giviny this type of good product at low price.all are saying that it is best for only reheating bt i will say not only heating u can make cake,biscuits, bread.boiling eggs,pizza base etc...and yes door opening button is not normal like u have to press hard to open bt its ok no problem. its a simple low cost microwave oven.go for it u cant get this product at this price in the market. thank u Flipkart.only 1 complain is that fk shipped it vi...",5
