Unnamed: 0,Product,Review_Summary,Rating
181030,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","At this price, it is very good Deal. Installation was done smoothly by Bajaj technician only at free of cost.So it is must buy product for small family.",4
181031,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",3L instant geyser with hot water coming in just 2 mins.. Good for 1-2 persons..  Installation was done by Bajaj as a part of their offer and we also get an inlet and an outlet pipe of 1.5 m. To avail installation we need to call their toll-free no. after product delivery. But before that we need to make sure that plumbing and electrical works are complete. It costed me more or less the same value as the geyser price for the plumbing and electrical part. So be prepared for it.,4
181032,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Very good product. Within 3 to 4 minutes water will hot. Installation done by Bajaj Service free of cost and also with hose pipe after day of booking. Service engineer was polite and well behaved. I'm happy with this product. Must buy it if 2 or 3 members family.,5
181033,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Heating is very ð good and look wise ot is dashing and loking stylish ð ð and its shape was cute And it heated water ð§ in 2 minutes only Best for winters you get a easy and comfortable bath ð,5
181034,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","It gives you only 3l water, it is not suitable for bathing, but it is useful for kitchen purposes... Cuz when you bath every time after 3 mins of hot water you have to wait for 5minutes together another 3l water to be heated up..... So I recommend this 3L geyser is only for kitchen purpose not for bateoom utilize... Instead of this use 5L or 10L bajaj geysers.... Other wise quality, everything is PERFECT WITH BAJAJ... ð",3
181035,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Compact Geyser.Works well. Didn't want to pay extra for installation so, self installed.Valves, Plug, and Tubes need to be bought separately. Only wall mount screws are provided in the box.Takes around 3-5mins for water to get heated and auto cuts off .Provides around 2L of hot water and half a litre of luke warm water. Suitable for kitchen use. For bathing, the heater need to heat for atleast 3 times for adequate water. Close tap..wait for heating, open tap.Ordered a V Guard Heater w...",4
181036,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Nice product work well I give review after 3 months of usage. And it is only for small family 4-6 people.,5
181037,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",1) Received product as displayed on Flipkart. 2) Within 3 days product was installed by Bajaj authorised person free of cost. 3) Performance good so far. Installed one week before. 4) worth money5) only concern is that Plug is not provided. If I knew I would have purchased branded plug before installation . I had to buy whatever plug available with service man. Overall good Banana product.,5
181038,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Good Product Using it for 1 month now, Don't Expect a Proper Flow for Shower or even at Tap. But open the tap at lesser flow or at a rate of approx. 25Ltrs (Bucket size) /15mins (This rate can vary depending on the temperature and location) and you can get a continuous flow of hot water for bathing. If you are low on budget or in a Rented property this is a good product. I don't think family size matters.Just keep in mind this doesn't come with a Plug and Pipes.",5
181039,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Installation was smooth and free. Inlet and outlet Pipe was free that was good part of bajaj offer as no other brands give. Only missing thing was 3 pin. rest is good. Water get heated in matter of time. Thanks,5
181040,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Product is good but the installation service provider behaviour at the beginning was very poor at the beginning they didn't attended me properly denied for installation if you have old set up geyser installed . Product is best service wise flipkart installation is not good only purchasing the product is nice flipkart installation service is not good,3
181041,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Heating capacity is not at all good. Previously I used Instant Geyser from Bajaj for more than 6 years happily. With that experience, I ordered for same kind of product from Bajaj once again. But this time, I wan not happy with this product. Heating is not happening instantly and heating capacity is very low. Overall not happy with the product this time.",1
181042,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Very Happy with the product. Get free installation on 2nd day of product received. Bajaj service is very good. On time delivery from Flipkart. I recommend this product. Just go for it.,5
181043,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Always a fan of Bajaj products, especially geysers since a decade. Reliable and long lasting.",5
181044,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","I am satisfied with the product .I want to share my experience regards to the installation .As I was expecting the technician to arrive ..some one called in my registered number and took my location details ,reached home and started installation process ,charged me for the pipes and plug .While he was working another person called and addressed himself as technician from bajaj for installation.I informed that someone is already doing the job. I had a doubt so asked this second man if ther...",5
181045,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","They're not doing installation, iam waiting from 14 day's filpkart support team is misguiding me But last they said they can't do anything, I have to contact bajaj team and they are not doing anything, filpkart and bajaj is doing fruad telling free installation and demo but they not do anything just wasting time and moneyMy suggestion is don't buy is product.",1
181046,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Good product,5
181047,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Good geyser and good working must buy it ððð¤,5
181048,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Great product . Hot Water in just 3 min. Small and efficient,5
181049,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","The delivery man was so rude, and banged the expensive geyser in r doorway and ran away, very poor service! disappointed and astonished by his act",1
181050,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Its fabulous, working very good thanks flipkart",5
181051,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",good product but brand and model logo are different.,5
181052,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Small and cute. Serves the purpose where small amount of water is needed for example in kitchens. People buying it for their bathrooms please be aware that its a 3L cylinder so keep your expectations according to that. Works smoothly and no complaints at all. I got the installation done through local plumber (only because he was available that day),5
181053,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",This the very powerful geyser... that's the power is Bajaj just 1 minute heat the water master blaster... thank u Flipkart,5
181054,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Pathetic delivery team. Changed the delivery dates and then the installation is also not done even after committing the time. Later on they cancelled the installation from their own side without consulting me once,1
181055,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Very bad item $ service is vary very bad ððð,1
181056,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",No installation provided very pathetic,2
181057,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Good working, and fast also",4
181058,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Works good.,4
181059,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Awesome,4
181060,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Worse online platformI received a defected pieceI requested replacement, wishmaster collected itBut after 4 days, it has shown replacement cancelledNo solution from Flipkart till nowDon't buy, If you love your money",1
181061,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Very nice and instant hot water,5
181062,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Nothing has been provided, I have to buy all the accessories along with mechanic charge, it will come around 1k extra",1
181063,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Product is okay but installation person is so rude and no manner,1
181064,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Product not working,1
181065,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Very nice ðð,4
181066,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Good..but heating Kam deta h,5
181067,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Good for family of 2 to 3 members.,4
181068,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Nice product, useful for everybody, installation done by my brother# deshi jugadðð",5
181069,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",very good product fast heating,4
181070,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Very good .. must buy for kitchen,5
181071,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Nice product and best feature,5
181072,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Very nice quality - bajaj,5
181073,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Product not much more good.,5
181074,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Waste product don't buy this waste of money,1
181075,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",The are not providing installation. Worst experience. Flipkart CC is saying talk to Bajaj CC and Bajaj is saying talk to flipkart CC. It's an endless loop.,1
181076,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Writing review After using 2 day's. Working good and looks also good, hope for long listing.",4
181077,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Gud product but continues running of water does not give good heat  nice product,4
181078,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",I replaced 2 times this product..due to water inside gyser...very bad experience with flipkart and bajaj too,1
181079,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",Technician have not perfect knowledge for installation so i will support for author technician.,3
181080,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)",So far so good. Heats water in 3 minutes. Looks nice. Will edit the review after 1 month again,5
181081,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","Nobody  attended for installation  till now.I have requested  to do the installation  on Sunday .But,nobody  attended till now.Very disappointed.",1
181082,"BAJAJ 3 L Instant Water Geyser (Ivora/ flora, White)","For installation , asking for extra money, worst experience.",1
