Unnamed: 0,Product,Review_Summary,Rating
53791,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"Good, but not great. I was using fx10 earlier. I really loved the quality and the food processor lasted for like 5 years of almost daily usage. Then i thought of buying fx11, but o must say i was disappointed. The plastic used the build the jars are not at par with what i purchased 5 years back. Its of much cheaper quality. Also the edges of tbe jars are not smooth and the plastic pieces used to come out earlier while using the jars. Not sure if its problem with fx11 model only or bajaj has d...",3
53792,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"Being a big foodie, I love to cook and with that I want my cooked food to look good. Starting from chopping to serving on the plate, I like neatness and cleanliness around my kitchen space. Keeping that in mind, I bought this Bajaj Food Processor with high hopes. It helps me to save my time and energy on things like Pre-Preparations Etc. It can Be used for Kneading Doughs, Slicing/Chopping Vegies, Grinding, Mixing, Blending, Etc.  It is very Easy to clean as well and doesn't accumulate stuff ...",5
53793,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"The food processor is very good. u can make French fry , keading. etc household kitchen job.it comes with 2 year gurantee and 5 year with motor .24 February 14Very Usefull buy - will make ur wife happy...I purchased this machine about 1 year back (not from flipkart) and its working flawlessly since then. Earlier my wife was not in its favour considering cost but after 1 year of usage, what i can say that its fully value for money..... it makes life so easy. Every day my wife uses it for...",5
53794,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),Finally purchased this food processor after a lot of research and I found it to be beyond my expectations. Comes with 600 Watt motor which makes it really good for regular use. The kneading process was amazing to say the least. Overall I found it a good buy and would recommend others as well,4
53795,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"I bought it and am happy as its worth single penny.Flipkart service was rocket fast as usual.My mom was using the similar version for 8 years and its still sturdy hence decided to buy it.It is powerfull. Motor can withstand loads and perform all sorts of processingYou can chop .shred, grate within minutesGrinding and liquidizing functions are great.Some issues though.:Chopping is too find. Sometimes you need bit more corse. Onion chopping is like magic but cabbage, lady fingers not ...",5
53796,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"Makes a lot and a lot of noice, it is good for starters, but if u have already used ordinary, basic premium mixies of 750 watts , u would find it annoying.. It Does it's work efficiently, but i personally dint like it.. I was using preeti blue leaf 750 watt  previously.. Not a good choice",2
53797,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),Good quality of plastic material .looks beautiful . packaging nice . So helpful for our daily needs...thank u soooo much Flipkart...I suggest to all.. u think to buy this product ..don't think again go for it...,5
53798,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"Thank you Flipkart for fast and reliable delivery. The machine works well for almost all purposes including juicing, chopping, slicing, kneading etc. Only drawback is , a little bit noisy. rest is fine.",5
53799,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"This FP is simply awesome! The variety of accessories offered are too good. It is best if you don't have time to knead the dough! The dough prepared is nice and it only takes few minutes. Of course, the chopping blades are superb especially for salad. Make the best use of it, as it cuts down the time you spend in the kitchen.",4
53800,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"receieved the product 2 days before the promised delivery date! excellent packing. using the product first time, noticed that with the speed regulator set to 3 the motor was not running, but was running ok in other speeds. called up bajaj service and surprise they sent home the service technician home and it was rectified, it was only a connecting cable dislodged, but the prompt service is very much appreciated. product was fully sealed and brand new product, which i very much doubt you wil...",4
53801,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"Really great product, i mainly use it for juices and atta kneading, works good. Easy to clean it as well",4
53802,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"this processor is fantastic, it does things super fast. kneading atta is effortless. Citrus juicing also works good (mind not to put too much pressure). main difference of this processor with others is availability of all most all processor accessories, at a reasonable price.   This works great for a family who cooks daily at home, may not be that good for occasional  cooking for one or two, as cleaning after small portions of processing may look daunting. can't say about durability, go...",3
53803,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"The packaging was very good, very nice product. Satisfied with working of food processor even after one and a half years of use. Good service flipkart.",5
53804,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),Good product at this price. A trustable brand and feature rich product. The quality of material is not very impressive but is at par. Overall it is a good choice.,4
53805,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),Very good product. No complain even after use of around 6 months. Lots of useful accessories. Demo available in youtube. I recommend this product.,5
53806,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"I ordered this product & special thanks to flipkart for delivering on time. I used this product as per the given instructions but it stopped working in 20 days.the processing bowl part stopped working suddenly.. I read the manual & checked for solutions, but there was no sucess..I dont think its worth to buy a product which doesnt even work properly for a month...Not at all a good buy.",1
53807,BAJAJ Fx11 Food Factory 600 W Food ProcessorÂ Â (White),"Firstly, thanks to flipkart. The delivery is fastest & the Packing is very  very nice.this is a great product to buy. its servers almost all the needs in simpler way but only thing is little messy type, but we just need to get used to it, then it will make our work easier.",5
