Unnamed: 0,Product,Review_Summary,Rating
77421,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Awesome Product by trusted brand Bajaj (India) ???.,5
77422,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),slow hit very poor products,2
77423,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Excellent,5
77424,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Nice,5
77425,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Go,5
77426,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),So supper,5
77427,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Good heading time 15 minits,4
77428,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Good,5
77429,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Super ????????????,5
77430,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Good,5
77431,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Very nice product,4
77432,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Nice product,5
77433,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Worth for money... Nice product......,5
77434,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Good product,5
77435,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Not good..,2
77436,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Good product.,4
77437,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Gud,4
77438,BAJAJ Waterproof 1500 W Shock Proof Immersion Heater Rod?ÿ?ÿ(water),Good,5
