Unnamed: 0,Product,Review_Summary,Rating
32654,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,This is a superb product made by BoschPros:-1. Design is Super Modern2. Gets its job of washing utensils very well and very clean3. The utensils are Super Dry when they comes out No need to mess with watery utensils4. it uses warm water at the time of washing at 60 degrees so every bacteria will be dead5. it uses 3 types of things :      1 .one is dishwashing detergents which is to be put every time you wash one scoop       2. one is rinse aid which helps you to dry out the utensils ...,5
32655,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Product is nice till date , I am satisfied with 1st wash for half load and quick setting. Product is silent while on operation. I would have given 4.5 stars for the company and product but for installation I gave low stars and demo was never given. we did it ourself.",3
32656,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,It has been nearly six months down the line and I wanted to wait before writing a review.1. Delivery was fast and installation took some time but only because our kitchen site was not ready. So full marks there.2. The Bosch Dishwasher is one of the best in India right now. It has all the settings and the frills - and I won't go into the tech specs.3. The product does it job very well. Our blackened iron kadhai and other such iron utensils started getting back the sheen slowly. The SS uten...,5
32657,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Must buy product. We are fully satisfied as  We got relief from maid and her tamtrums. We are using it since last 1 year and then giving my review. At first you may feel bore to arrange utensils but trust me once you learn to arrange utensils this machine is blessing. I got this for 28000 only on last big billion day and feeling so lucky bcz people searching for this product since last six months due to lockdown. People are saying that cost of rinse aid and salt is extra but m not using salt ...,5
32658,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,nice product. Very Useful for household utensils cleaning. Installation was delayed but overall the product was really serves the purpose and remoces all stains and very useful if you wanted to reduce the dependency on maids. The cleaning is also perfect at 70 deg temperature and no maid can match the cleaning in manual mode. I personally recommend as I am having one machine at my home and another at my mother in law home. I simply say goodbye for it bcz it reduce the amount of work to my wif...,5
32659,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"saving time very useful and the best I have relief from maid and I have a piece of mind , we can use it more time it automtilly switch off when the selected mode time is completed very helpful to me must buy don't think just awesome",4
32660,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"aluminum kadai becoming black.otherwise product is very goodone can go for it size sufficient for 2 people with three time cooking perday --break fast , lunch & dinnereven 10 ltr stainless prestige cooker can be kept in lower tray without any problemit will help in  saving time 1 to 2 hours oer dayone can go for it",5
32661,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"The machine in itself is good but a very minor and intelligent ignorance of the inlet pipe had caused me so much trouble.The pipe end that connects to the tap is such made that the tap adapter is just not available anywhere in market. And the same should have been provided by Bosch itself.Even after arranging the adaptor, the same is causing so much trouble.Otherwise the machine is great, the utensils get washed top notch. Use much less water than what our maid uses. Also it doesn't break ...",3
32662,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"The product is great. It cleans vessels very well and is easy to use, though it can take some getting used to if you have never used a dishwasher.You need a water source and a 15A plug point, and water draining spot to start using it. Pipe extensions are available for a price.I tried using Bosch and Finnish products (tablet, rinse aid) and Finnish is better than Bosch. Even Bosch recommends Finnish products.The cost per month depending on your use will mostly not more than salary you pay a...",5
32663,BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Reviewing after 2 weeks usage. Very good product. all the utensils are cleaned very well. It's better than the hand wash, Have started seeing the original glow of utensils ????????. Great product from bosch. However I feel like Space is little less when we keep our bigger steel plates . I would have gone for 14plates bosch if it was available in the market.All together I recommend this product",5
