Unnamed: 0,Product,Review_Summary,Rating
127872,Bajaj GX1 500 W Mixer Grinder,After using  3 months I can say this is good for lite use not for heavy duty. Good for bachelor life works or small family little use. Quality is ok for lite juice and lite masala making. I feel good being a bachelor.If you are family user please go for little higher configuration and specification.,3
127873,Bajaj GX1 500 W Mixer Grinder,This is the first time i bought something for my home.It is a great product with a great price tag.I am happy to get this product with great packaging & within the delivery date.Thank you flipkart.,5
127874,Bajaj GX1 500 W Mixer Grinder,"Beautiful and powerful product. You can make shakes, chutneys and much more.  The jars are beautiful.The build quality of overall product is awesome but the jars lid are not that good. You have to remove them very carefully or they will break. The biggest jar is about 750ml so if u want to make shakes for 2  people then it's good but not good for more than 2 people.",4
127875,Bajaj GX1 500 W Mixer Grinder,nice and asome product . product is so good . as like picture ..,5
127876,Bajaj GX1 500 W Mixer Grinder,"powerful motor but noisy, sharp blades, one meter cord, three jars with lids, nice finishing, autostop mode, 3 power modes. All over a good product.",4
127877,Bajaj GX1 500 W Mixer Grinder,Worth every penny!! It has a strong motor along with a fine design. Three bowls are also very helpful for various purposes..,5
127878,Bajaj GX1 500 W Mixer Grinder,Super quality of mixer.. and jar was fully steel strong jar... Moter quality is good no more extra sound 500 walt motor.... I am happy with this product.. Thanks flipkart,5
127879,Bajaj GX1 500 W Mixer Grinder,"It's a very good and compact product, good plastic material. Product coming with 3 jug & a plastic knife to clean the container are very useful. Little bit noisy but it makes no difference. Taking less space in your kitchen. Easy to place the jar on motor, it's perfect product for daily kitchen work. I prepared mango shake in minimal time. You can enjoy to use this. Cleaning of the jar is to easy. Overall I can say it's worth for money. hear are some image of the product.",5
127880,Bajaj GX1 500 W Mixer Grinder,Good product with a good price. A cery string and good quality of motar. Minimum motar vibration because of vaccum cup shape rubber boots for minimizing the vibrations. Good blade cutting.. and very good shape and structure of mixer to easy use. If you want juice in it's good but i will prefer 750 W motar mixer for that..,4
127881,Bajaj GX1 500 W Mixer Grinder,Very good and useful product ???you must buy this product. Quality is too good I liked the price of this product soo good and good ????????§,5
127882,Bajaj GX1 500 W Mixer Grinder,"We gifted to my sister-in law, she like it. Excellent quality, compatible, Attractive design, looks good. Nice. You can buy. Value for money. Fast delivery.",5
127883,Bajaj GX1 500 W Mixer Grinder,the product is not good as expected. the smallest jar is not good at all. the  cover of the jar doesn't hold tight when the mixer is on. lot of times this issue. not worth at all... it's better to not purchase this item,1
127884,Bajaj GX1 500 W Mixer Grinder,"Not baad.Works fine.I have been using it since 1 month and my opinions areQ1.Liquidizing jar works good ,I have made batter of urad daal and parboiled rice.2. Grinding jar also good, grinded raw coriander seeds and cumin seeds with it ,it made a smooth powder.3.Last chutney maker is good too,as I have made coriander & tomatoes mixed chutney with it.",4
127885,Bajaj GX1 500 W Mixer Grinder,Nice Product. Very fast delivery by Flipkart (Only 1 day). It contains a warranty card inside with 1 year Warranty. Recommend buying it. Good for home use and not hotel use. 3 bowls and a suction pad below which holds it very firmly and prevents falling.,5
127886,Bajaj GX1 500 W Mixer Grinder,After using for three months I can clearly say that this product is not at all recommend for who needs powerful and fine grind. Very average performance. Takes multiple rotation just to paste onions. Poor.,2
127887,Bajaj GX1 500 W Mixer Grinder,1) value for money2) good quality3) trusted company Bajaj4) 500w but high speed mortor5) highest selling Mixer Grinder model GX16) pure copper coil (Price-1709/-) one sentence I am fully satisfied,4
127888,Bajaj GX1 500 W Mixer Grinder,Good but not best. You may prefer 750watt for big jars. If you invest more you will get more. But it's good in quality and motor is very good. In this range it's good.,4
127889,Bajaj GX1 500 W Mixer Grinder,Awesome product in such price..Powerfull motor with Best quality stainless steel jar..I like it,5
