Unnamed: 0,Product,Review_Summary,Rating
39965,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,It's very good product value for money n bottle is very nice  thank you flipkart for fast delivery . Within a 15 hour to delivered a product  great ?????????,5
39966,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Worth combo offer!!Combo is price worthy and Quality is good. Gifted to one of my friends and got positive feedback. Highly recommended for those who are looking for both kettle and flask.,5
39967,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Thank u flipkart for this awesome product I am satisfied with this product Worth every penny Really worth buying ??ø??ø,5
39968,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,"Smell of burning Plastic while using the kettle to boil water. Thought this will be there only for the first few usages, but even after 15 days of usage same disgusting smell of burning plastic. Water bottle has a classy gloss finish but it is not for holding hot water. I can't believe how people have given those wonderful reviews below, looks like some kind of fraud from Flipkart",1
39969,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Supper products????????????,5
39970,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,"Great combo...got it for the good deal 750 and the delivery was too quick,,,",5
39971,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Good ????,3
39972,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Very very veryyy bad product.. First time Flipkart disappoints me very much.. I had bought it on 11/01/21 but today this is 21/01/21 it is not working at all.. Hate this. Suggest you all don't buy it ...,1
39973,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Good,4
39974,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Kettle is excellent...but water bottle not up to the markIf i stored hot water..i will smell something else in water while drinking..may some reaction happening inside water bottel even i am using from last 20 days...still it has some kind of smell,4
39975,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,excellent product,5
39976,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Value for money,5
39977,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,really nice product useful items in our kitchen,5
39978,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Good quality But sirf pani garm,2
39979,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,"Awesome product... Value for money... Bottle is good.. And  just started using this kettle, let's see how long it'll work.",5
39980,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Outstanding,5
39981,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Pllastic is not well but not bad steel  low thiknes,1
39982,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Product quality is poor compare to pigeon kettle.It's power cord is waste and worthless. It's like child toy.I use pigeon kettle it's double strong and good.Kindly purchase pigeon it's 645 only,1
39983,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Very useful product,5
39984,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Nice Product,5
39985,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Getting plastic smell while drinking the water,1
39986,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Now a days in flipkart every product is made for flipkart. Quality is not up to the mark. Money making is the only motto,1
39987,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,"Not bad, but bottle not so good.",4
39988,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Received on 20 th oct...it has stopes working from Nov 2 nd.  I can not replace...waste of money.....,1
39989,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,such a Gud product,5
