Unnamed: 0,Product,Review_Summary,Rating
186898,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"I would like to appreciate the way this product delivered to me,it was packed completely secured without having impact to the item.For this price this wet grider is pretty decent and it's been more than a couple of weeks I'm using it is working as expected.",4
186899,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"Nice product, with excellent quality , I like the safety packingAnd very fast delivery infact I received my product 5days earlier...Must buy don't hesitate ??",5
186900,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),appreciate Flipkart very fast delivery and the product is awesome thank you flip kart,5
186901,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Nice product worth it for our money I got this product at 3599rs  There is not coconut scrapper.in my opinion it is a better home product with easy maintenance,4
186902,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"Wow semma offer,  super grainder.  I purchase 2849/-.  Thank you butterfly rhino.  Thank you flipkart.",5
186903,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),It is suitable for small family like 2 member!!!and it's quality is average...the motor gets little bit hot after usage..otherwise the product is worth for its price...and happy with packing and  product delivery and all...,3
186904,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),good service with timely delivery and packing is also good delivery boy manner is also good,5
186905,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Good product easy to clean and portable,5
186906,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"great product,got the item in good safe packing and in good condition-worth the price and found it cheapest on flipkart online sale",5
186907,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),I buy this product with my reward coins so Iamvery happy and appreciate to Flipkart today I buy this product so my review after using thanks,5
186908,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"Very good, as expected. The packing was great. I was worried a bit, while placing the order. But Flipkart has done a great job. The quality of the Grinder is fine. The motor runs normally. No over heat or sound. Great going so far. Over all very good experience. Great money saver, compared to the local shops!!!",4
186909,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),quick delivery thanks for filpkart I like to give this rhino   grinder to my friend for gift while compare to other online sale website  product is good and very low price thank u filpkart,4
186910,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),It is a good product. It does it's job very well. Happy with 5years warranty. Worth for money.,5
186911,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Filpcart is given me good opportunity to buy everything in Filpcart letar thanks I'm happy for good service thank u,5
186912,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Totally in love with it...simple and easy i gifted to my grandma and she loved it...not only dat many of the neighbours purchased it...by seeing grinder in my grandmas home my neighbours almost 5 grinders ordered again in flipkart...thank u so much gud delivery and good quality ...,5
186913,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"honest review- low quality of outer parts.over heating on bottom of grinder ,so plastic smell like burning...i think this grimder will be done on local place  & packed with brand of butterfly...cheating from Flipkart..",1
186914,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),super quality,5
186915,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),it's... okay.....,4
186916,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),packing is good and performance is also nice. as expected?§?,4
186917,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"very high heating problem, but for this price its ok.",3
186918,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"no doubt, the product is working very fine.. but the delivery man was very rude  and poorly handled my product.. my carton box was damaged and fortunately product was safe.. but this defines the bad delivery handling system of flipkart.",4
186919,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Good product.. took 20 mins for smooth idly batter..no heating problems.. no burning smell..,4
186920,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Very poor quality product.The plastic washer which holds the grinding stone broke on first use. Haven't been able to use the product ever since.,1
186921,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),All are perfect,4
186922,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),"excellent product for cheaper price, very much worthy",5
186923,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Works well.  But a lot of cleaning work afterwards,4
186924,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Good product but I feel it's a fake product.  I received product in a brown carton box with butterfly labeling.  I seen the unboxing video in youtube.  It's actualy come with a colored box.  So I feel it's fakeBut product is working.  Please clarify if someone know about this,5
186925,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),very good product..felt bhatkal,4
186926,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Nice product,4
186927,Butterfly Rhino 2 Ltr Wet Grinder?ÿ?ÿ(Cherry Red),Very poor,2
