Unnamed: 0,Product,Review_Summary,Rating
34004,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Best portable product .. I kept my all book as shown in below imaze.. The product has enough strength to bear weight........ I'm very happyðððð,5
34005,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Nice one. Assembling the product is so easy . Totally worth it.~ From a satisfied customer ?,5
34006,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))","Using it as my kitchen rack. As per the reviews, it is strong and sturdy. I had to use a cardboard, before placing the containers. Very good as a book shelf. Thanks to the company as well as Flipkart",5
34007,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Product is awesome so so good than expected and standard and it's sufficient for the books and all to keep it with stand a good weight as well,5
34008,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))","nice concept ! its good for those who live on horseback as its easy to set and carry. However, the plastic blocks are average. I'll give it 7 out 10.",4
34009,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Good One. Easy to assemble. If plastic quality will be bit improved. Then it is best n must buy product. Very useful n resourceful product.  Must try...,4
34010,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))","Well made product. Strong and stable. A few rods were a bit bent, which made assembly a bit tricky, but not very difficult. Satisfied over all.",5
34011,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",It's very nice... I am satisfied because it's very use full and material so good and hardy ..... Love it,5
34012,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Seriously awesome product..but after delivery when opened that cover one of the stand is broken...i didn't return it because it's taking too much time to replace thats why I'm using faviquick in stead of... overall I'm saying that awesome some products and is best for students who are staying in hostel specially.,5
34013,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",WORTH TO BUY THIS PRODUCT. VERY HAPPY TO USE THIS SHELF. EASY TO ASSEMBLE. METAL AND PLASTIC FRAME MIXED. THANK YOU FLIPKART.,5
34014,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Believe me item is too good. Quality is very good and strong. I gave 5 star even one Small piece of plastic is broken during delivery and that can be ignored since remaining is very good with broad racks.  Good space saver. 100% worth for the price.,5
34015,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Its not much strong i mean with heavily loaded things kept like books it can't be pulled as it may break...but its good if its kept in one place and also for hostel...,3
34016,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",I like this  product ð¥°ð¥°,5
34017,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Just received today...quiet happy though the metals are not that strong...its okay,3
34018,"CMerchants Multi Organiser BLue-4 Book Shelf Metal Open Book ShelfÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",Spacious and can bear heavy and bulky books.,5
