Unnamed: 0,Product,Review_Summary,Rating
18515,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Nice product thank you flipkart,5
18516,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Super prudcutð¥°ð¥°,5
18517,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",All things are very small,1
18518,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Good quality â¤ï¸,5
18519,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Very nice,5
18520,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Good product,5
18521,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Good,3
18522,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Nice,5
18523,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Awesome product,5
18524,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Not good,1
18525,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Good item,5
18526,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Superb,5
18527,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Very nice product...,4
18528,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Nice,5
18529,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Nice products,3
18530,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Everything is amazing. Thank Flipkart for quick delivery,4
18531,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Nice product bat toilet brash is not good,4
18532,"CREZON EXCLUSIVE House Hold cleaning bucket mop set combo with 3 Refills and 6 Different Accessories, 360 Degree Self Spin Wringing Magic Bucket Mop Cleaning Wipe, Cleaning Brush, Cleaning Cloth, Bucket, Duster, Floor Wiper, Glove, Kitchen Wiper, Mop, Mop Refill, Scrub Pad, Mop Set",Nice,3
