Unnamed: 0,Product,Review_Summary,Rating
17235,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),"Loved the product, didn't expected it to be so good , the quality is good, worth the price and the price is so affordable . The delivery boy was gentle and was polite",5
17236,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Soft and easy work like play game and in winter without hand drop in water.,4
17237,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),First of all thank you Flipkart for this on-time delivery and beautiful product. The product is exactly same as shown in the picture..I will suggest customer to read thoroughly the reviews before purchasing any products as Flipkart is a platform only and the product quality depends upon the seller only..so for customers like me should read the ratings and reviews before purchasing...,5
17238,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Product is nice....I would suggest they should send a assembly manual along with the product so it's easy to assemble overall product is Good..Review after the use of just 1 month I have received this product on 7 July today is 8th August and the mop rod is stuck it doesn't work properly .,1
17239,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Nice and very useful profuct.It looks like similar to the picture. Good product at this price.,4
17240,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),thanks,5
17241,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),"In this prize this is good,your scrolling time finished here",5
17242,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),It is amazing same as I want but the threads of mop is breaking but nice Thanku flipkart....,4
17243,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),review after 14 days mop not spin in water perfectly,1
17244,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Got broken piece.,1
17245,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Quality is goodðð¤,4
17246,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),"Product is super, good quality",5
17247,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),"Low Quality Product, I got with Broken handle.. Waste Of Money",1
17248,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Super quality,5
17249,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),"This is the worst spin mop I've ever used. So so low on quality. I've been using spin mops for over 4 years, never have i ever come across such a bad mop. It doesn't even spin properly, it's so low in quality. Doesn't even do 10% of what you'd expect it to do. Please don't be blindsided by the good rating because I also did. It's the worst.",1
17250,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),I am writing this after using this mop for 1 month. The quality of plastic used is very bad and plastic rod handle is broken after 2 weeks only and joint provided for carrying the bucket is loose.So my request to team CREZON to improve the quality of the product by considering end user of this product.,2
17251,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),It's really very nice .,5
17252,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Thanks Flipkart,4
17253,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Product is ok... I have used it for 3 week... Performance is good. Got in rs. 650,5
17254,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Nice,3
17255,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),"Very nice product â¤â¤Good quality, just go for it ðð",4
17256,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Ok,5
17257,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),It's very nice ðð»,4
17258,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),"First 5-7 usage it gave good performance but after 8th wash the handle of the mop came out. Now again I am searching for new one, price is less but my personal review is not to recommend this product anyone.",1
17259,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Very nice product...ðð,5
17260,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),In this spin mop you showed 4refills but we got a 2 For the reason we giving the bad rating and Bad products Bad quality,1
17261,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Nice product ð the quality is  good. The packaging quality was good overall it's worth for the money ðµð.,5
17262,CREZON Magic Dry Bucket Mop - 360 Degree Self Spin Wringing With 3 Super Absorbers for Home & Office Floor Mop SetÂ Â (Multicolor),Superb product,5
