Unnamed: 0,Product,Review_Summary,Rating
46538,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)","Fan is goodbut little disappointed those are:-1.in full speed fan not like 300 rpm2.air delivery not like 200cmAnd last point3.down rud is very smallHappy with1. Also good design looks like modern technology2.value for money, when those problems are not facing3.if ignore this small problem, definitely i recommend to purchase this product Thank you",3
46539,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Looks top notch and even speed is very good. A value for money product. This is my second fan from this brand. Kudos to Candes for creating such wonderful economical product.,5
46540,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)","This review is after 1month usage...very wonder in this price, No noise, nice colour combination for wall...very much satisfied on this product and its usage.... comparing other brands, this is best in India.....",5
46541,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Noisy fans and have allignment problem. Never purchased such horrific fans. I have purchased a pare of that fan. First of all they supplied only one fan instead of two. Latter they replaced it. I don't recommend this product. Local low priced fans are far better than that. I must say that don't even think of purchasing it.,1
46542,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Classy design n high speed... Satisfied,5
46543,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)","Fully noise .not anti dust fan, waste of moneyAnd asking for 5 star rating otherwise they won't provide warrenty.",1
46544,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Value for money,5
46545,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Good product,5
46546,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Fan is poor it's not working like new ... It is only a Showpiece COPY of USHA Bloom Fan . Many peoples are giving 5 stars for additional 1 year warranty .,1
46547,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Not up to the mark.... Candes call to u and say if u give 5 star the warrant extended,1
46548,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",awesome quality and very high speed.so please ignore all negative reviews,5
46549,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Best fam,5
46550,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)",Super,5
46551,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)","Fan is good looks nice, but Very low air flow, not satisfied with air delivery and packaging was not good, wet with water due to rainy season",3
46552,"Candes Florence 1200 mm Energy Saving 3 Blade Ceiling FanÂ Â (Silver Blue, Pack of 2)","After 3 days gone using it, it showing constant speed and speed is good. It is also not makes noise.",5
