Unnamed: 0,Product,Review_Summary,Rating
142147,Canon PG47 Ink Catridge,Good.  Prompt delivery and good performance.                                                                                                                      this is comfortable way of buying product at ease,5
142148,Canon PG47 Ink Catridge,It works well and lasted for like quiet a while....worth a buy,5
142149,Canon PG47 Ink Catridge,this product was delivered in time. i liked this productits packing was good .overall its a genuine ink and must have for canon pixma e400.i liked flipkart service as well.,5
142150,Canon PG47 Ink Catridge,There are very good products and very fast delivery. I liked the products very much and the printer fit perfectly. But the products that are there are a lot of money like the products because the printers that are cartridges are too old and the money should be reduced. Thank you,3
142151,Canon PG47 Ink Catridge,Got it at 10% off + free shipping which was a good deal but delivery was a very late.PG 47 is a value for money product by Canon with decent number of prints per cartridge.,4
142152,Canon PG47 Ink Catridge,I get pg 47 on time and it is well packed by flipkart I like to thx flipkart I give give 5 star to pakaging and thx because my product is safe,4
142153,Canon PG47 Ink Catridge,Nice ... bought this last year. And still its going great. Had taken lots of prints and to be honest the quality of ink is very good. And its original. Go ahead. Nice product for printing needs.,5
142154,Canon PG47 Ink Catridge,"Even though they offer 400 pages per catridge, you will get maximum 80-100 pages only . Go for laser printers",1
142155,Canon PG47 Ink Catridge,Bought for Canon E460 Printer. This is my second original refill cartridge purchase. I mostly print text pages (90%) and some image pages (10%). Life of cartridge is 100 pages with this usage pattern. Works out to Rs 5/page to print a black and white print. Very expensive-will try out local refilling of ink this time.,2
142156,Canon PG47 Ink Catridge,Dont buy this product guys this canon peoples are cheeters they dont know to manufacture the good product. i purchased 1 month back this printer. but no use boz it hase mentioned in to the cartrage that you can take 400 print were i took only 10 it showes cartrage is empty and i buyed new one that also same only 10. stop this selling product in to the market. now i need to through this printer to dustbin. do not buy it,1
142157,Canon PG47 Ink Catridge,"PLEASE DO NOT BUY SUCH PRODUCTS FROM HERE FOR 2 REASONS.1. The actual value of the cartridge is 450 which I later bought from canon store directly. I thought i would save time by not having to go and buy it personally, but had to eventually.2. I bought the Canon PG47 Ink Catridge from flipkart and it was a dried out cartridge. I had to call canon customer service who came and confirmed it. When i called flipkart they said its a nonrefundable, non exchange product. When i said, they could co...",1
142158,Canon PG47 Ink Catridge,Genuine Product and  Packaging is very good...thanks to Flipkart..????????????,5
142159,Canon PG47 Ink Catridge,packing & delivery was perfect...,5
142160,Canon PG47 Ink Catridge,Printing quality is good and  compatible to canon Pixma 4570 printer .   print only 150 pages ???? but mentioned that it will print 400 pages so disappointed by this issue . Otherwise okk???,4
142161,Canon PG47 Ink Catridge,Working gud and amsome printing,5
142162,Canon PG47 Ink Catridge,"Pros :Vibrant , Easy Installation .Cons:Expected to print 400 pages but it prints atmost 100 pages, Never expected from canon, Full waste of money. Suggestions :Buy Epson Printers. They are really cheap.",3
142163,Canon PG47 Ink Catridge,Ink ended very early.,3
142164,Canon PG47 Ink Catridge,Previous cartridge I used took print out of 300  pages for document alone and few pictures.  The cartridge I bought from flip-kart came as a sealed one and genuine. The print quality is too good and always go for original Canon Cartridges .,5
142165,Canon PG47 Ink Catridge,Super Nice and Original Product Support canon pixma E410 GOOD PRODUCT,5
142166,Canon PG47 Ink Catridge,Original Product,4
142167,Canon PG47 Ink Catridge,Awesome product,5
142168,Canon PG47 Ink Catridge,Good but once you receive please check it is it filled or not...I got,2
142169,Canon PG47 Ink Catridge,Only 60 to 70 pages can print per catridge.,5
142170,Canon PG47 Ink Catridge,very costly & only less print outs.I stopped using the printer.,1
142171,Canon PG47 Ink Catridge,good product... nice print out,4
142172,Canon PG47 Ink Catridge,it is bad cartidge and not print above 200,1
142173,Canon PG47 Ink Catridge,got an empty cartridge and the are not accepting returns,1
142174,Canon PG47 Ink Catridge,Good and efficient.,5
142175,Canon PG47 Ink Catridge,This product is very bad in this range,1
142176,Canon PG47 Ink Catridge,This is not supported,1
142177,Canon PG47 Ink Catridge,Super,5
142178,Canon PG47 Ink Catridge,This ink is genuine But the problem with printer is it shows red light after 100pages but I still used the cartridge and at last 357 pages were printed,5
142179,Canon PG47 Ink Catridge,"Good product, the specification says 400 pages, but no ,it only gives around 250 pages, I checked it by writing down the page numbers that I printed. manufacturers please do not do that.. write clear in specifications. And don't break our expectations.",4
142180,Canon PG47 Ink Catridge,Wrost items,2
142181,Canon PG47 Ink Catridge,Good,4
142182,Canon PG47 Ink Catridge,Very nice packing the product works,5
142183,Canon PG47 Ink Catridge,Ok,5
142184,Canon PG47 Ink Catridge,Very good product,5
142185,Canon PG47 Ink Catridge,Good product,5
142186,Canon PG47 Ink Catridge,Good product,4
142187,Canon PG47 Ink Catridge,Nice product.Go for it!,5
142188,Canon PG47 Ink Catridge,Good,4
142189,Canon PG47 Ink Catridge,Nice,5
142190,Canon PG47 Ink Catridge,The product was good...,3
142191,Canon PG47 Ink Catridge,Good,5
142192,Canon PG47 Ink Catridge,Good product,5
142193,Canon PG47 Ink Catridge,Very good,5
142194,Canon PG47 Ink Catridge,Good products,1
142195,Canon PG47 Ink Catridge,Good,5
142196,Canon PG47 Ink Catridge,Best,5
142197,Canon PG47 Ink Catridge,Good,5
142198,Canon PG47 Ink Catridge,Good,5
142199,Canon PG47 Ink Catridge,Good,5
142200,Canon PG47 Ink Catridge,Super nice,5
142201,Canon PG47 Ink Catridge,Good,5
142202,Canon PG47 Ink Catridge,Very bad product Flipkart ???ª???ª???ª???­,1
142203,Canon PG47 Ink Catridge,Very good product,5
142204,Canon PG47 Ink Catridge,good,4
142205,Canon PG47 Ink Catridge,Good,4
142206,Canon PG47 Ink Catridge,"Works ok , as it should buy drains very fast as we all know , we should avoid purchasing cartridge instead we should refill it , saved thousands of rupees , by refilling the cartridge... Whatever my cartridge got broken thus had to buy this one ... It works fine for 100 pages after that we all know , cheers .",2
142207,Canon PG47 Ink Catridge,"Doesnt last long even with weekly usage. Promise is 200+ pages, but lasts about 100. print per page is more than other printers.",3
142208,Canon PG47 Ink Catridge,Good deal,5
142209,Canon PG47 Ink Catridge,Perfect. Reached me before the proposed date. Delivery boy - polite and helpful. I recommend.,5
142210,Canon PG47 Ink Catridge,"Received my parcel within 30 hours, super working.",4
142211,Canon PG47 Ink Catridge,Its no return policy my money and product are worst..,1
142212,Canon PG47 Ink Catridge,Useless product. Don't buy,5
142213,Canon PG47 Ink Catridge,This is so much bad productThis product is fault,1
142214,Canon PG47 Ink Catridge,It's ok,3
142215,Canon PG47 Ink Catridge,Very nice,5
142216,Canon PG47 Ink Catridge,Worked well immediately after Installing in printer,5
142217,Canon PG47 Ink Catridge,Excellent,5
142218,Canon PG47 Ink Catridge,Original cartridge,5
142219,Canon PG47 Ink Catridge,Good,5
142220,Canon PG47 Ink Catridge,Good,5
142221,Canon PG47 Ink Catridge,Ok,4
142222,Canon PG47 Ink Catridge,Good day,5
142223,Canon PG47 Ink Catridge,Superb,5
142224,Canon PG47 Ink Catridge,good ?§?,5
142225,Canon PG47 Ink Catridge,Original Product,5
142226,Canon PG47 Ink Catridge,Original ink cartridge,5
142227,Canon PG47 Ink Catridge,No working cartridge,1
142228,Canon PG47 Ink Catridge,Bad,1
142229,Canon PG47 Ink Catridge,I'm very ?§ with this products,5
142230,Canon PG47 Ink Catridge,It will print only 80-90 pagesThey have told 400 pages,1
142231,Canon PG47 Ink Catridge,Nice product,5
142232,Canon PG47 Ink Catridge,Super,4
142233,Canon PG47 Ink Catridge,Good purchase. Ink level is maximum,4
142234,Canon PG47 Ink Catridge,Super,5
142235,Canon PG47 Ink Catridge,This ink is only fifty pages per one cartridge so many expensive this ink and cannon printer is waste,1
142236,Canon PG47 Ink Catridge,Superb product. Like it. Genuine product,5
142237,Canon PG47 Ink Catridge,The product was good in quality ????????,5
142238,Canon PG47 Ink Catridge,Superb product.,5
142239,Canon PG47 Ink Catridge,Very good ??? thank you flipkart,5
142240,Canon PG47 Ink Catridge,Good product ??? Thank you Flipkart For your great service.,4
142241,Canon PG47 Ink Catridge,The quality is very good.,5
142242,Canon PG47 Ink Catridge,Good product great value,5
142243,Canon PG47 Ink Catridge,ok,5
142244,Canon PG47 Ink Catridge,Nice product,5
142245,Canon PG47 Ink Catridge,original,5
142246,Canon PG47 Ink Catridge,Price for this product so high,3
142247,Canon PG47 Ink Catridge,Awesome,5
142248,Canon PG47 Ink Catridge,Nice and genuine,5
142249,Canon PG47 Ink Catridge,Not more than 100 pages,1
142250,Canon PG47 Ink Catridge,Nice,5
142251,Canon PG47 Ink Catridge,Fast Delivery Awsome,5
142252,Canon PG47 Ink Catridge,all right.,4
142253,Canon PG47 Ink Catridge,Excellent product very fast delivery,5
142254,Canon PG47 Ink Catridge,Bad quality page 100 only flikark very very bad activity,2
142255,Canon PG47 Ink Catridge,Excellent service. Maintain it for ever.,5
142256,Canon PG47 Ink Catridge,Very good,5
142257,Canon PG47 Ink Catridge,Thank you filipkart,5
142258,Canon PG47 Ink Catridge,Provide is good but delay delivery,4
142259,Canon PG47 Ink Catridge,Good product,5
142260,Canon PG47 Ink Catridge,Very bbad print paper only 20 pages  ink limit,1
142261,Canon PG47 Ink Catridge,Very good,5
142262,Canon PG47 Ink Catridge,I really like the product.. Thank you so much??????,5
142263,Canon PG47 Ink Catridge,Fully wastage of money don't buy,1
142264,Canon PG47 Ink Catridge,Nice good product Thank you Flipkart,5
142265,Canon PG47 Ink Catridge,Nice product,5
142266,Canon PG47 Ink Catridge,Thank you,5
142267,Canon PG47 Ink Catridge,Ink is very low in cartridge. Don't waste your money,1
142268,Canon PG47 Ink Catridge,"Hassle free experience,  loved it.",5
142269,Canon PG47 Ink Catridge,Original product. Good,5
142270,Canon PG47 Ink Catridge,Good,5
142271,Canon PG47 Ink Catridge,Worst products in 100 pages,1
142272,Canon PG47 Ink Catridge,Good product,5
142273,Canon PG47 Ink Catridge,Good,4
142274,Canon PG47 Ink Catridge,very nice ???? ink thanks you filpkart,5
142275,Canon PG47 Ink Catridge,Not good,1
142276,Canon PG47 Ink Catridge,Quality product,5
142277,Canon PG47 Ink Catridge,Nice product,4
142278,Canon PG47 Ink Catridge,Excellent,5
142279,Canon PG47 Ink Catridge,Original and good quality,5
142280,Canon PG47 Ink Catridge,Thank you??????,5
142281,Canon PG47 Ink Catridge,Original Product.,5
