Unnamed: 0,Product,Review_Summary,Rating
131024,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,This ia very useful .. because of its height can be adjusted properly according to your necessity. It's also not too costly. Overall good one.,5
131025,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,"Stability of the Stand is awesome ????????I got this for 210 with coupon and discount. Must buy for stable video calling for meeting or online classess, It can also be used in bed watching movies. It's adjustable in height and different viewing angles. It's portable too. I'm happy with the purchase.",5
131026,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,"Excellent product and value for money. The base is broad and heavy so almost no chance of toppling over. The telescoping stand is also sturdy enough and you can rotate your phone to almost any angle.Only drawbacks, like almost all similar stands, is that the phone holder is a bit narrow on the edge grip so if you use a heavy back cover, you'll have to take it off to fit on the stand snugly. And need to be a bit careful about placement so the grip doesn't press down on the power or volume b...",4
131027,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,I love it??.This product is good at this price.this is very useful for online classes.this is easily adjustable and strong.i recommended this???????,4
131028,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,It not good and not bad... Mobile holder not good   look at my photo (mobile holder normally open always so it not safe use your mobile),2
131029,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,Quality is good also very affordable prices all over its nice happy to but this product,5
131030,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,"Nice and firm stand, however the package was having some powder so had to clean it with cloth.The mobile gripper is bit harder, so I done indian jugad to add another mobile holder on top and now it looks great",3
131031,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,Excellent,5
131032,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,Just loved it,5
131033,Casewilla Mobile Stand Holder for Table with Adjustable Height |Update 2021 360 Degree Rotation Mobile Holder for Table and Bed Compatible with All Smartphones Mobile Holder Mobile Holder,Mind-blowing I love it,5
