Unnamed: 0,Product,Review_Summary,Rating
58847,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)","The built quality is very nice works perfectly fine but it is not ideal for gaming because none times it feel harder to press the key like enter space. But In this price segment is this is the best key board you can have.,",4
58848,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)","Pretty much a beast with eye-catching RGB colors. Gives the feel of a mechanical keyboard. We can even switch off the lights if we want. Overall, a very decent gaming keyboard. Just go for it without a second thought.",5
58849,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)","Good keyboard. Tactile and efficient. Only thing I don't like is the travel which is significantly higher than even mechanical keyboards, making it tough and requires getting used to for typing at higher speeds, excellent for gaming and for other uses.",4
58850,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)",A BUDGET GAMING KEYBOARDThe Keys are raised and tactile. It is a good semi mechanical keyboard for Gamers. Overall a good keyboard. Loving the RGB effect.,5
58851,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)",pretty bad product. the Keyboard doesn't work anymore after like a month or so. the space bar is not so promising,1
58852,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)","Just irreplaceably awesome ,premium smooth functioning keys which are also anti-ghosting ,well balanced backlighting .Best out there in the market at this price range .And superfast delivery ,ordered on Spet.25 -2019 and it said it will be delivered by Oct 1 - 2019 but got it by Sept 27 - 2019. Was indeed an awesome purchase.",5
58853,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)","Nice product , good quality , keys are really strong and looks are really amazing but chief disadvantage is that we neither change it's colour nor alter it .",5
58854,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)","Great product loved the quality also the aluminium finish looks premium ,very slim too you can adjust brightness by pressing fn + pageup and page down colours look beautiful especially in dark",4
58855,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)",Offff itss awesomeeeee thnx flip love it,5
58856,"Cosmic Byte CB-GK-05 Titan with Aluminum Body, Rainbow Backlit Keycaps, Braided Cable Wired USB Gaming KeyboardÂ Â (Black)",Good gaming keyboard. Feels and looks premium. The w button lost it's colour within 7 days.,4
