Unnamed: 0,Product,Review_Summary,Rating
816,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","it's really worth every single penny. it works like one ton AC provided that your room has proper ventilation.  I generally keep cooler near to window so that it can pull fresh air from outside and as a result I get very cool air. one more suggestion,  please don't buy cooler which are equipped with a blower fan. Always go for the cooler equipped with metal fan like this one.  In one word, this Compton cooler is Amazing. if you find the review helpful, please thumps up. Happy summer! ????",5
817,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","I bought Crompton Ozone 75 Desert Air Cooler in the Month of May  2018 . Summer at its Peak . I live on top floor so my house gets mare warmer in comparison to other flats . Placed the Air Cooler in Hall near balcony .  The device is elegantly build and performs very well . Crompton has introduced a very good product . Pros:1. Sleek design . 2. water tank excellent .3. Wheel are very good in quality , no problem in mobility even when the tank is full . 4. Child locks in wheel . 5 . Hone...",4
818,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)",GREAT packaging by seller. As this was the most important point while transportation from jaipur to Chennai. Secondly Product is quite huge and air throw is very much nearly 13ft at 2 speed  and will give good breeze. Cooling is satisfying due to honeycomb cooling media. No need of filling water daily. Price is high but product is quite satisfactory compared to others. Only drawback is the motor power is 190 w rather than 220w which should be coorected on specs information on flipkart. Good j...,5
819,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)",Delivery was delayed by two days except this everything is quite fine.safely packed.air flow is good run silently even on full (3) speedice chamber is pretty good and instantly starts giving cool air after putting ice in it.connecting wire is kind of short length.A foul smell comes for the first time you put water in it.but it ended within 3-4 hrs.moving wheels are quite reliablewheel lock works good.,5
820,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","Can't go wrong with Crompton Brand, In Punjab this does an excellent job during this summer with temp between 35 - 42. The looks, quality, motor are great and I have been using it indoors. the air flow is good and have been using at lowest speed in my 12??16 bedroom and need summer blanket with it. At top speed it easily cools my 36??15 Lobby, which is great. As far as water goes it lasts 15+ hrs without worrying (88L capacity). Very easy to move even when water filled to full capacity. Never g...",5
821,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","A great cooler in great price. Compact and Great design , body is made of good plastic and the cooling effect this cooler is too good even on a slowest fan speed ut gives best result...Recommended to all.Also one thing I need to mentioned is the delivery man great guy helps me a lot to get this product :-)",5
822,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","Its an awesome product and I am not making any fake comments here. I bought this just for trial to have a healthier ambience at home and I am happy that I made this choice. It cools a room and keeps it cool all day and its best if you put it near a window or open door so that it pulls fresh air. Huge savings on electricity, eco friendly and comfy.",5
823,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","Air throw is very good.????????Low noise and best cooling on medium speed.????????Motor of Fan is partially covered with plastic to protect water fall on it.????????Original Crompton motor very durable.????????Water Level can be seen clearly from outside body of cooler.????????You can fill water very easily from front side of cooler, a big box is available to open and close it after filling water.????????????55 litre tank is enough for 10 hours cooling.??????Honey comb pads very good quality.??????Plastic body is ...",5
824,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)",Its been 6 days that i am using this cooler we have 15*15 room after buying this cooler what i love is it has strong solid body so dont worry that it get broken easily you can fill water from front and back and give very cool air .. my room feel like its december in april i have to use extra blanket in night while sleeping ..it has capacity of 75 litre water which last for 2 days but i love to run cooler on pump for 1 hour it cool the whole room then only air mode .. and it gives awesome cool...,5
825,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)",Very good quality product. Better than my expectations. If you provide good ventilation it does nice cooling then. I could feel the air 25 feet away. Couldn't try more than that but i think you could feel it a bit more far away as well. Water easily lasts for about 8-9 hours. Good in this price(9200) range after 10 percent discount.,5
826,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","Delivery was on time, Flipkart service was awesome on time. But the cooler doesnt seem to be so costly as it doesnt cool really well even after filling it up with full water. It can be ok during warm nights but it wont make you feel any ease in hot conditions. The plastic build also looks very cheap and below standard. I am ok with it but not very satisfied.",3
827,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","Water pump is not throwing a lot of water, that's why it's throwing warm air. Not satisfied with this kind of pump quality. I have paid a lot for this, not worth the money. There is no work of ice chamber. I need a partial refund.",1
828,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","A quality product from Crompton. It looks exactly like in the website, is easy to set up and use. Please refer the room size charts while buying from the product line, this one is meant for a somewhat large room. There are 3 speed controls, a couple more on the lesser side would have been better. The smell from the cooling pads reported in a couple of other reviews was there, but mostly dissipated within the first 8 hours of use. Finally, this cooler consumes a lot of water (~3L/hr.), so it w...",5
829,"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)",Great job by fk faster delivery awesome product I got brand new air cooler . At first I checked it's sounds not bad as I read in review.Air delivery is much better .one thing to say delivery boy most helpful so guys must go for it. But I have doubt is this model same to ozone 55  because I ordered this &got ozone 55 . according to sailer both r same then why fk shows different model& Price,5
