Unnamed: 0,Product,Review_Summary,Rating
46723,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)",Nice 1 day delivery good packing also good thanks to ekart also good speed easy installation you can do by your self,5
46724,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)",Good and stylish  looksGood speedWell known brand Star less as area of wind delivery less compared to Singer fans that we had bought.Packing and Delivery by E Kart is good. In this district of Odisha I had to go and collect item from their place!2nd REVIEW This is review after 3 wks of usage. Some sound is evident when the fan is stopping.Maybe a ball bearing problem. I did not expect this from Compton Greaves! So I reduced the rating to 3 stars,3
46725,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)",Well quality is as good as the flipkart fan. Nothing special really. Not worth spending the extra bucks. Works well though as any other 900 rupee fan would.,3
46726,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)","Aye MashAllah the product is good enough and the air is also quite decent from it. I loved this fan in this price range , but there is no user manual to set up ourselves in the box! Rest all is cool ð",4
46727,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)",Wonderful  super Awesome product Crompton fan is  very nice good my rating is ***** 5 star thnku flipkart saguest for ciling fan ðð,5
46728,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)","good product happy with quality and easy return but due to Deepawali got a delayed delivery,all the way product is good .",4
46729,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)","Good high speed fan in this price, I bought Orient also, that's good also but it has good design in it.",4
46730,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)",Not worth to my expected but packing was pretty good keep it up..i love it..,4
46731,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)",Speed is very high but but it creates air pressure not much better but all things are good for normal usage for one or two persons its good,4
46732,"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling FanÂ Â (Smoked Brown, Pack of 1)","Super fine look and Lesser in noisemaking, but the fan upper cover and condenser fan guards made of plastics was not there on 3 of 1 so little bit disappointed. The Crompton super briz at itâs best",4
