Unnamed: 0,Product,Review_Summary,Rating
36773,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)","Product is not good. yes its not comparable with JBL or other big brands but i am comparing with protonics Sound drum.Mivi's sound is not balanced . not good for your room. you can use for outdoor where loudness is required. please go for portronics sound drum 10 watt BT speaker, if you looking for room. its sound is best in this price segment.",2
36774,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Reasonable price,4
36775,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Nice product,5
36776,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Super,5
36777,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Good,4
36778,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Good Quality,4
36779,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Nice product.,4
36780,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Very Good,4
36781,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",good but finishong not good ovrall nice this price rang nd heavy weight hai kaafi so i like it,4
36782,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Decent product,4
36783,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",In this price quality is very poor,1
36784,"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf?ÿ?ÿ(Number of Shelves - 2, Black)",Medium,3
