Unnamed: 0,Product,Review_Summary,Rating
37249,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Simply superb????,5
37250,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Superb,5
37251,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Good,4
37252,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",nice product suit to our amazing showcase,4
37253,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Good product,5
37254,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Awesome....,5
37255,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Good quality,4
37256,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Good product but very expensive,4
37257,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Nice,5
37258,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Awesome,5
37259,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Nice,5
37260,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Awesome,5
37261,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)","It's too good ,quality is super",5
37262,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Luv it,5
37263,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",VB ok,4
37264,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Fantastic,5
37265,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Very nice,4
37266,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Super,5
37267,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Good product ???,5
37268,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)","Very nice design, loved it ????????????????????",5
37269,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)","Crafted Beautifully, material is sturdy.",5
37270,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Super,5
37271,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",very nice prodcuct,5
37272,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",nyc one,5
37273,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Awesome ????,4
37274,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Good,3
37275,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Nice,3
37276,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Worth penny,5
37277,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Good product. Go for it,4
37278,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Not worth,2
37279,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Beautiful quality product,5
37280,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Nice one,5
37281,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Awsome handy,5
37282,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)","Excellent build quality, sturdy ,attractive a must thing in living room",4
37283,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Awesome,5
37284,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",nice,5
37285,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",good quality,4
37286,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Nice one,4
37287,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",good,4
37288,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Good,3
37289,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",fabulous,5
37290,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",very nice,5
37291,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",awesome ..same as shown as picture,5
37292,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",very nice.. as it is shown in flipkart,5
37293,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Nice product.,3
37294,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",good one,5
37295,"D&V ENGINEERING 2 Compartments Iron Remote control holder /stand /organizer for TV AC DTH STB Remotes with attractive Dancing Lady?ÿ?ÿ(Black, Green, Pink)",Nice,4
