Unnamed: 0,Product,Review_Summary,Rating
145195,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Awesome productMy nephew loved itJust go for itIt is also an offroad vehicle,5
145196,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",I like this  one because it was so speed.,5
145197,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Very very nice Thank you Flip kart,5
145198,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Very very super but slow run,4
145199,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",NICE. SPEED 4X4 OFF ROAD CAR,5
145200,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Nice,5
145201,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Vrey good toy,4
145202,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)","It is has very little height, and it had very less speed.",3
145203,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Good packing and heavy quality toys good work faster delivery,5
145204,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Super,4
145205,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Product is defected not working,1
145206,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",super,5
145207,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Good,4
145208,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Waste of money...don't buy this product... battery was very poor,1
145209,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",need for speed,5
145210,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Just awesome,5
145211,"Dallao Waterproof Remote Controlled Rock Crawler RC Monster Car With Wheel Remote , 4 Wheels , 1 Stepnee, , 1:20 scale?ÿ?ÿ(Multicolor)",Good product,5
