Unnamed: 0,Product,Review_Summary,Rating
16738,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Thanks flipkart.......very soft duster.... i am so happy,5
16739,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Avarage and deferent colour...,3
16740,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Nice product very easy and simple to use and clean. Value for money....,5
16741,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,D product is not good,1
16742,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very great quality duster it is. Built in material is very good. It can be used for wet and dry both purpose. Fits in hand perfectly. Price Worthy,5
16743,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,"if you own a bike, your probably using a cloth and working your face off cleaning it, get this and this will reduce the work load to half of it.Thought that the projections would come off, but to my surprise it didnt and is of a quality product , hence its a little expensive.This is mainly for water wash as dry dusting, use a plain cloth",5
16744,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Nice,5
16745,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good,5
16746,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good product,4
16747,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very good for washing my car and bike,5
16748,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very good for washing my car and bike,5
16749,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Not bad,4
16750,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good items,5
16751,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Waste of money,1
16752,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good product,5
16753,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good,5
16754,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Not good,2
16755,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,One time use only,1
16756,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very nice,5
16757,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very bad product. Don't recommend to purchase. It torn in first use. And even didn't get replacement from Flipkart.,1
16758,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good,4
16759,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Cleans well,5
16760,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good,5
16761,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Ok,3
16762,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Nice performance,5
16763,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good,3
16764,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,After one time use.  The sewing of clothes went out. Quality is poor.,2
16765,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Stitching opened while using 1st time itself,2
16766,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good Product,5
16767,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good,5
16768,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Nice,4
16769,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Ok good productsok,5
16770,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Outer  cloth torn off after first wash itself and inside sponge came out,1
16771,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Nice,5
16772,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Bad quality,1
16773,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Stitching got damaged on first wash itself,2
16774,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Does the job well. One star less because it's stiches in border got opened.,4
16775,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very bad,1
16776,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good,4
16777,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Super,3
16778,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good ð,4
16779,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very cheap material... upper blue color cloth torn after 2 washes... not recommended from me..,1
16780,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Quality issue,2
16781,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Super,5
16782,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good product,3
16783,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very good,5
16784,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good for foam washing but it is very very very difficult to wash it after using with soap...,4
16785,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Nice product,4
16786,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Super quality,5
16787,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Very nice really happy to this,5
16788,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Good,5
16789,DeoDap Microfiber Car Cleaning Duster for Multi-Purpose Use Wet and Dry Duster Microfiber Cleaning Duster for Multi-Purpose Use (Big) Wet and Dry Duster,Nice,3
