Unnamed: 0,Product,Review_Summary,Rating
135575,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))","The product fully meets its functionality in this price range.. once it is assembled correctly, it seems sturdy, compatible and elegant and also pertains very much similar to the image provided for product reference. This would be a great desk to opt for if you are living in a confined environment since it won't take up that much space. The assembling seems pretty easy, all I needed was ""just a star driver"", and that too, I assembled myself since my hubby was out of town when the product was ...",5
135576,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",It's really good even the quality was good and those paper is assembling instructions  âï¸âï¸.hope this is helpful for those who didnt get that information instruction .thank q for the seller,5
135577,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))","Simply amazingAlthough took some time for assembling it but the result was worth it . There is ample amount of space in two shelves , one can easily keep 30-40 books .If you are planning to buy a study table then this is the best , just go for it.",5
135578,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Its not as easy as we think to assemble. Should have sent some one to fix it. But they didnt. Buy this only if they arrange anybody to fix. Also check once sides once it is delivered. The finishing work is not done properly on few sides.,1
135579,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Neat and compact... As expected... happy and easy to assemble it... thank you,5
135580,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))","The product is really good and has very classy wooden finishing. Suits your room very well. Reg. assembling it: definitely needs two person for the job, I have no experience in fixing things and it was my first time using a screw driver, make sure to use a long screw driver to get good grip and force [ I used a tester to fix this and had hard timeð ] but with a long screw driver  the work will be done in just 30 mins with zero efforts. Quality and looks of this product is above excellence...",5
135581,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",It is delicate yet good. It is engineered wood so you can't expect sitting on top of it. But it's beautiful. Easy to install and elegant.,4
135582,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))","Quality is pretty good , DIY thing requires 2 people to work it out , the width is less than expected , overall it's a good deal",4
135583,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Overall Good,4
135584,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Things I admired about this table <3â¢has a lot of space to keep thingsð¤â¢storage is perfect ð¤â¢enough space to keep legsð¤â¢easy to assembleð¤â¢love the color combination ð¤That's my review on this product and I'm totally obsessed with my table and totallyyyyy satisfied<333,5
135585,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Simple and good one,5
135586,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",This is a perfect study table and assembling is also very easy and delivery was on time... quality is also great.,5
135587,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))","Useful product for single adult use and even for kids for school from home in todays times. Manual is provided for assembling and all material available, nothing missing. But it was a difficult task. Required 1 person help while assembling. The holes were not as deep as the length of screws. Need to carefully screw one end at the same time keep other end in alignment. Had to unscrew multiple times to align. Maybe by reading my review others can avoid same problem by keeping these points in mind.",4
135588,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Nice product,5
135589,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Took some time to combine it to whole but was worth itð,5
135590,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Very nice product,5
135591,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Looks good.,4
135592,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Better Quality product ð¯,5
135593,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",The wide is less as compared to other tables,3
135594,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))","Good product, easy to assemble",4
135595,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Good quality,4
135596,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Liked it..,4
135597,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",This is a super study table with storage and very simple to assemble,5
135598,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Good,3
135599,"Ebee Engineered Wood Computer DeskÂ Â (Modular, Finish Color - Wenge, DIY(Do-It-Yourself))",Superb purchase!!!,5
