Unnamed: 0,Product,Review_Summary,Rating
186303,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)","Perfect grinder...it grinds vary faster than my older ultra wet grinder. Size is compact and the grinding stones are also small in size, so weight also less to carry and clean.",5
186304,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Excellent product.  * Powerful yet less noisy.  * Helps to finish the job faster than before.  * Easy to clean. * Not very heavy to lift and shift.,5
186305,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Excellent grinder. Grinds faster as claimed by ultra.,5
186306,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",super performance very fast,4
186307,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",It takes 18 minutes to make rice and another 18 minutes for Dal . Idly.,5
186308,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",good product,4
186309,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)","Pros: really fast, has a timer, small footprintCons: makes noise, runs hot and heats up the batter, splashes batter as the rotation is too fast when starting, height is nti suitable for all,  if you are not careful, the plug gives a shock when the capacitor discharges, so switch off and wait for the beep.",4
186310,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)","Lid is not fitting properly, design is very pathetic, you need join a course to learn how to fit the lid every time.",2
186311,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Fast and easy handling...,4
186312,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Good,5
186313,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)","I recommended this product, very quickly griding machine,",5
186314,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Excellent grinding ...luv it??ø,5
186315,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Touchpad are too sensitive. Lid design may be changed and often falling downFood grade pvc quality shall be improved.Drum is too small and handling issue.  Positive- timer -less time consumptionSoft touch emergency button,4
186316,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)","very fast , convenient product..",5
186317,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",it's good,5
186318,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",ultra fast but sound is over,5
186319,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Very Fast Grinding Noiseless Machine,5
186320,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Very Very nice product and smooth running looks also petty,5
186321,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Best grinder in its class,5
186322,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",superb,5
186323,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Excellent,5
186324,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",good,5
186325,"Elgi Ultra FASTGRIND Wet Grinder?ÿ?ÿ(Red, White)",Very nice grinder.. it??s fast as it claims and even light weight!,5
