Unnamed: 0,Product,Review_Summary,Rating
14149,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),Excellent chimney with good features and less price.Pros:1. Auto clean and filterless technology. No need to poor any hot water for cleaning.2. Good suction power3. Good looking.4. Motion sensor feature is awesome. Gestures working pretty well.5. Installation  material provided inside the box.6. Provides Sufficient lighting for cooking.7. Less price compared to other brands with same features.8. Installation is done next business day and process was smooth.Cons:1. Flipkart wont p...,5
14150,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),The chimney looks great and works like a charm. It does have a constant whirring sound when turned on but I think all chimneys do have background noise. The installation was done within a day and was very quick. They charged extra for pipe and other accessories but were very professional in their work.,5
14151,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),Before purchasing eurodomo chimney when I go through the reviews I got some positive and some negative reviews regarding g installation and service but I decided to take this and I am really very happy as because the chimney delivered within 4 days of booking and in very next day I got the call from Faber for installation and installed the chimney. Their technician was really very nice polite and well mannered. I paid rs1200 in total rs500 for installation and rs700 for aluminium pipe.one thi...,5
14152,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),"Super good nice product ,Auto on off chimni l like so much tis product but installation  is late , and pipe is low quality so l have purchase another aluminium  pipe  any how thanks to Flipcart....",5
14153,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),Though the delivery was late due to delivery issue. I got the best Chimney. The cost is ok. The installation was a also a delay from Faber. Atlast it was installed and it works very nicely. The aluminium pipe was costed 1200 which felt like too much. I had to make adjustments for better look of the chimney exhaust. The Chimney is awesome at this price. Good Buy,5
14154,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),"Product is good, delivered on 1st Feb 21. Installation done on 7st Feb 21,but after several times follow up.Pros & consGood looking Quality wise goodLatest technology features like Autoclean, gesture controlInstallation kit included otherwise you have spent around 1000 rupees extra.Toughened glass (during installation pliar hit two times from 1 feet height but not a single scratch)During chimney search mostly people described that sounds db's is on higher side and my opinion is also sa...",5
14155,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),For this no name Super company  amazing brand best chimmey cool and best chimmey in low cost best product i will give promise in this product,5
14156,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),"If you want to buy a chimney with a very good suction power, just go for it.It will perform as per your expectations. Pros:-1. All black design2. Less noisy3. Good suction power with 3 modes.4. very bright LED lights5. Renowned Faber productCons:-1. Installation charges should not be there, there should be free installation as other companies with same product line providing, why not Faber giving?",5
14157,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),Chimney is good as expected but installation by third party is extremely unprofessional. They just come to make more money by telling many lies and don't do anything properly. But as warranty will not be provided by company if you install yourself so you are forced to take installation service. You have to certainly get it re-installed by some expert afterward. This is the only negative side to spoil the name of a brand like Faber. Chimney is good with nice suction power. Accessories for in...,1
14158,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),One of the best chimney in this price segments.1-auto clean.2-filterless.3-oil tree.4-motion senser.every facility available here.I can talk about this chimney just otherwise no comments needed.Very fast delivery.Installation & demo very good & very fast.     ?????????????????????,5
14159,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),Pros : Good service and installation.Cons : Didnt used the pipe and accessories which came along with it.Fixing agent said it is not suitable for chimney.So charged 1800 for fixation.,4
14160,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),It??s best in class and working superbly Looks are also nice Doing its job well,4
14161,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),Thanks to Flipkart.. Fixing done little late but okay. Product is very nice. Lookswise pretty awesome.. Touch sensor is pretty cool. Ease of Usage even for elderly ladies. Just a week after fixing I'm writing this review. Overall performance is good. little noisy in hispeed mode but manageble. Overall 4/5,5
14162,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),After 6th months of use I am reviewing honesty that this product is totally worst. It is beautiful to see  touch & hand waive technology is awesome but it is not working for which it built means suction power is very very poor.,1
14163,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1200 CMH),"Chimney is really good the only issue is brand installation and demo, which is chargeable and service don't expect good. Better you install yourself if you have drill machine and proper space already in your kitchen for chimney pipe exhaust not much difficult it's quite easy or take local fitter help. Rest product is good in it's segment. Not much noice packing was really good although my product stuck in transit due to lockdown but finally got it safe and working perfectly.",4
