Unnamed: 0,Product,Review_Summary,Rating
135375,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Very good study table also useful for work from home purpose. Size is perfect. Table is quite sturdy and well built. Got this @4.6k which is a must buy at this price. Installation was also done well. Go for it,5
135376,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Very nice table I love it though it's self's are small but fine I like it,5
135377,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Average product. I would request the fabrication company to include some small changes which will make it really good product:1. have rounded edge on the board where we work as current edges are very sharp and gives bruises to hands.2. Improve the quality of handles of both closable doors. Itâs just 2 days and it came off. 3. Provide an extra magnet for central closet,3
135378,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",It's very nice to see. The person who has come is very nice person. As usal flipkart has delivered very early. The service is very nice. Product is good and nice looking. thank u,5
135379,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Nice study table worth fr the moneyMy son liked it very muchLooking good occupying less space Fast delivery happy with the installationThanks to flipkart,5
135380,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","So so product. not very sturdy. It's fine for temporary use but for long term, local shops have better sturdy products at this price",3
135381,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","A perfect solution for kids study table ,personal work station ,neat n compact design , installation was smoothly done  .very useful .",5
135382,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Value for money. Recommend at this price.,5
135383,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Worth it ð,5
135384,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Great study table with lots of storage. We got it in very low price during sale. Installation was done the next day of delivery and the technician was an expert. We are very happy with the table.,5
135385,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Everything is very good ...tnku flipkart,5
135386,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Exactly what I wantedð..really satisfied ð¤,5
135387,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","Good one, highly recommended, satisfied with the product",5
135388,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Product is good but important needs in quality... Product is like.. Handle with safety,4
135389,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Nice and good looking table for comfortable,5
135390,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Received product on time. Installation done by the engineer on the same day. Product quality is good.,5
135391,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",I am not satisfied this wood study table.,1
135392,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Very poor quality please ð don't buy,1
135393,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Not worth,1
135394,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",1. Product broke down in 6 months2.not a stable item3. Poor installation 4. Assembler didnt follow manual . He drilled extra holes and connectors 5. The writing pad first lost themagnetic cluth second d writing pad fell off the hinge,1
135395,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Guys it's perfect for everyone...and one more thing you can assemble it by ur own u don't have to wait for any installation guy... anyone can go for itttttttttttt....,5
135396,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Money value product,4
135397,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Bad product,1
135398,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Value for money product..,4
135399,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",I bye this table for books arrengement but my problem is not solve little bit disappointed ðâ¹ï¸ shelf are not big as shown,1
135400,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","It is all damaged , not strong, please don't buy this item",1
135401,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Its  so Comfortable in size ð but quality is in averaged !ð¤.,4
135402,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","Very poor product, the amount is less but the quality is also poor.  Waste of money.  Better to purchase these things offline.  Very Very poor product.  The table is opening from joints. U am very upset with this purchase.",1
135403,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Very nice and big size table,5
135404,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",The table is same as shown in the image.. wood quality is also great.. overall very good product.,5
135405,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Very Nice ðððð,5
135406,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Not install properly,1
135407,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Product is very bad quality,1
135408,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Knob get removed after 2 days of installation. Installation is also not so good.,2
135409,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Good One,5
135410,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Delivery & Installation is done on proper dateInstallation done properlyOverall GoodI am happy with the table,5
135411,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Delivery and Assembly of the table was on time. The table is as shown in the image. Good space it has.,5
135412,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","Worst product ever...I will never buy any furniture from flipkart... very bad response from seller, installation technician & flipkart customer care....seller has rejected my return request...if u don't want to waste ur money & be cheated , then please don't buy this product....very weak & unstable study table..technician hadn't any knowledge about how to do installation...overall very bad experience with full flipkart team...plz don't buy this product",1
135413,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Awesome product.,5
135414,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","Very disappointed,, very thin and already broken on first day",1
135415,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Very poor product,1
135416,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Wood quality is not good,1
135417,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Not worth. Worst product bought from Flipkart. Also return policy is designed to suit seller.It is seller's choice whether to accept the return or not.No adequate support,1
135418,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Very poor quality don't buy,1
135419,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Not a good product,2
135420,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","Insatllation was delayed, the table is not sturdy. Otherwise its an okayish product.",1
135421,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","The product is absolutely fine to look like a premium one, got it a very reasonable price,  installation process two days late because to the technician, so I raised the complaint then installation complted.  overall value for money product.",4
135422,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",worst product ppor quality weast of money .seller basted,1
135423,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Quality is very poor,1
135424,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Uselees compatments,1
135425,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Nice,5
135426,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Good,4
135427,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Very good this prudot and i am happy very comftelb this product and thank flipcart love you and  sell man and insction  man making this product very neet and clean work ððððððð,3
135428,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","Okayish product , can't take much weight on the desk part ( closeable part). Its a good option if  just want something for time being. Okay at this price",3
135429,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Nice one not bad..you can have a option on this ..,5
135430,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)","Product is excellent and quality of study table is also good. Value for money. Installation process is also good.Installation boy was very polite, supportive, and hardworking",5
135431,"Flipkart Perfect Homes Dalton Engineered Wood Study TableÂ Â (Free Standing, Finish Color - Dark Wenge, Knock Down)",Nice product and timely installation service value for money,5
