Unnamed: 0,Product,Review_Summary,Rating
37964,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",The product was super and packing also very nice the FK smart buy cooker   useful to me and such a wonderful product and price is very low and good quality must by in this product to your house thank you Flipkart ??,5
37965,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)","This is a very nice product by Flipkart, Looks wise its very nice working wise it is excellelent. At this price range it is very nice deal deal and thanks to flip kart for this product. very very nice product very happy to have this product at this price range",5
37966,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)","I am using this product since 6 months. Till now no repairs or damage. As I have a myth that flipkart smart but products are cheap quality and never last for long. But this product changed my perception and proves me wrong. There after I used purchase things from flipkart smartbuy. I purchased iron box which is working properly.I prepared egg rice, chicken and boiled water, prepared ragi java in this cooker. Till now I didn't faced any issues with the product. It comes with reasonable price. ...",4
37967,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Satisfied,5
37968,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",So satisfied....,5
37969,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice,5
37970,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Best all in one product for pg or hostel ....... ??????,5
37971,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Wonderful,5
37972,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice product got this at 1275 rs ..this is 1.8l model and this is suitable to cook for 4 people.I have a tip for you..don't cook rice directly in the vessel provided.. add an other vessel in the main vessel to cook rice so that there will be no sticking or burning of rice..donot use the plate while adding another vessel (add water in the main vessel),5
37973,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice product thank you Flipkart  and l am love it,5
37974,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Super product 5*rating,5
37975,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Who hate hotel food ????must buy this product??For bachelor 2 person enough this one rice cooker also made lemon rice chicken briyani vegetable briyani chicken curry sambar etccc love it thanks to flipkart saves lot of money and health also ??????,5
37976,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Super super super super super super,5
37977,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice,5
37978,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Best for roommates,5
37979,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Very nice ? product,5
37980,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice product cooking is nice,5
37981,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Great product everything is fine just giving it 4 stars?? because of its serving spoon ??? as the Quality is not good! Overall product is Fine.,4
37982,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Perfect for 6 people...Quality is goodUsing this for 15 daysWorking very wellFlipkart smart buy ???????,5
37983,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",if there had been a perforated plate/ cooking plate/ base plate provide it would have been best although it's still a great deal at this price point.,5
37984,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Wastage of money. I purchased this product in Nov 20.Now the product is not working. Requesting all not to go to buy of this product.,1
37985,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice product valuable for all,5
37986,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice product. Also I am writing this review for packing box. Upon box tell the reason why box is dull. That is nice. You save nature and my money. Thank all your thoughts and efforts.,5
37987,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Very good productDelivery safe,5
37988,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Super product thanks to flipkart,5
37989,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Which very good and awesome,4
37990,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice product,4
37991,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)","Used only a few times , rice is sticky but could be done right with correct amount of water but couldn't figure out correct ratio , takes time to heat up , after 5 or 7 minutes water will start boiling. But cheap and helped in a hard situation.",3
37992,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Nice looking and good work,5
37993,"Flipkart SmartBuy CFXB18 Electric Rice Cooker?ÿ?ÿ(1.8 L, White, Blue)",Used 2 peices  for 4month both of them are failed due to some reasonNeeds improvement,1
