Unnamed: 0,Product,Review_Summary,Rating
48456,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Worthy to buy .,4
48457,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Good product not even single ballon also defected and animal ballons are super thanks,5
48458,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Looks beautiful but balloon quality is bit low rest looks extremely beautiful,3
48459,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Good,5
48460,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Highly recommended product must buy It increased my baby birthday decorations.,5
48461,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Really good product. Worth to buyð,5
48462,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Nice..!,4
48463,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Bad very bad product,1
48464,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Waste of money,1
48465,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Very goodðððð,5
48466,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",I  am satisfied,4
48467,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Nice,5
48468,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Nice Product.Low budget,5
48469,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Beautiful,4
48470,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Good product,5
48471,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)","Best product, 100% go for it...",5
48472,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Nice ð,3
48473,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)","Pathetic products.... didn't receive face shape balloons,neither green ballons....too bad experience",1
48474,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",Very nice thank you flpcard,5
48475,"Fun and Flex Solid Jungle Theme Animal Face Foil Balloons Garland Arch Kit for Birthday Party jungle Theme Party Baby Shower for Kids Decorations BalloonÂ Â (Multicolor, Pack of 90)",We loved it,5
