Unnamed: 0,Product,Review_Summary,Rating
101911,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))","Great, the quality of the wood is good & finishing is also good.. I would have liked it to be a little taller & somekind of mdf/laminate on top for longevity.. And there is very strong mango aroma coming off from the wood, so may be mango wood is used..",5
101912,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))","Satisfied! Balance is good, light weight.",4
101913,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Very niceð,4
101914,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Terrific perches,4
101915,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",This small table is really pretty and adds an aesthetic look to your room. It's quite small and delicate but looks good.,5
101916,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Nice ð,5
101917,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Love itð cute small table,5
101918,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Grt product,3
101919,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Small but good decor,5
101920,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Looking so beautiful.....good quality,5
101921,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",It's look so so beautifulâ¤,5
101922,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Size is little bit small..overall it looks really beautiful,5
101923,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Very small.....finishing is bad,1
101924,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Product finishing not good I'm unable to screw on one leg..unable,1
101925,"GLORIEUX ART Beautiful Antique Wooden Fold-able Side Table/End Table/Stool Living Room Kids Play Furniture Table Round Shape Solid Wood Side TableÂ Â (Finish Color - White, DIY(Do-It-Yourself))",Must buy,5
