Unnamed: 0,Product,Review_Summary,Rating
135707,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","Nice chair. Adjustable seat height, armrests, lumbar support, headrest, tilt tension. It's pretty comfortable. However, I'm shorter, so I have to have my lumbar support at the highest setting to reach the proper place of my spine and my head reaches the headrest just barely. I also have to have the seat all the way to the lowest setting or my feet will barely touch the floor. So it is a big chair like the description says, taller people may have more freedom with adjusting their settings. The...",5
135708,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","I would say it is a average chair given the price point at which it comes ! I really believe some more features could have been incorporated to make it the price worthy.Here are the pros and cons as per me :Pros :- Quality : Quality is unquestionably good, no doubt that it will last way more than its warranty period without any hassle- Warranty : Comes with a 3 year warranty which is really nice.- Back Support: Not the best, but better than other in the same price point- Synchro Mechan...",4
135709,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","Value for moneyPros:Loved the quality of product, looks durable.Comes in semi assembled condition, it took me hardly 10 mins to assemble it. Very comfortable, at least for me, lumbar support is optimum for my requirement, high adjustment and tilt control are in easy reach when sitting on a chair.Cons:Arm rest is a little bit hard, for longer working hours, you will feel a little bit pain in your arm.Height adjustment and tilt control sometime doesn't worked for me when sitting on cha...",5
135710,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",The lumbar support doesn't stay in place (vertically)Other than that comfortable chair and good customer service,4
135711,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","Product was okay. But during delivery one of the hand rest got damaged, the screw joint was broken. Didn't return because it wasn't a big deal for me. Overall product is very good. Green soul knows how to make great products.",4
135712,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Comfortable feel and good cushion for head rest which keeps the back ache reduce...,4
135713,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","Till date no issues with chair, very comfortable and provide proper headsupport. Easy to install",4
135714,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","It is a good chair for this price range. I have been using it for around 1 month, no problem was found with any parts.",4
135715,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",This chair is comfortable for work from home,4
135716,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Totally worth it. Just buy this. I can sit all day without back pain,5
135717,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Perfect fit and comfortable. Good going Green Soul!,5
135718,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Poor quality material as per price,1
135719,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Price is little bit high,3
135720,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Good,4
135721,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Excellent Product,5
135722,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))","Highly recommend. 120kg strong, and very nice. Thank you so much",5
135723,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Greensoul jupiter go high back chair is ok,3
135724,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",very good study product,5
135725,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Good quality,5
135726,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Very happy with this product,5
135727,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|2D Headrest|Lumbar Support Mesh Office Adjustable Arm ChairÂ Â (Black, DIY(Do-It-Yourself))",Value of Money compare to others chair.,5
