Unnamed: 0,Product,Review_Summary,Rating
83635,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Awesome product,5
83636,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Nice,5
83637,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Good,5
83638,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Good for power saving....,4
83639,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Product doesn't work properly. Worst product doesn't purchase it...,1
83640,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",For almost 3 months we are still using it.,5
83641,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",It's damaged in one month..,1
83642,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",very good product,5
83643,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Not work,1
83644,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Useful product...ð??,4
83645,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Keep a hole or opening at the top so that vegetable can be put inside through the hole and things become convenient,3
83646,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",Must buy,5
83647,"GaxQuly Multipurpose Vegetable Fruit Handy Chopper Machine with stainless steel blade Black Dori Pull Hand Master Chopper Manual Quick Onion Chopper for Kitchen 900ml 0 Juicer (1 Jar, Black)",That's A Nice,5
