Unnamed: 0,Product,Review_Summary,Rating
175254,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),"I absolutely love this device. Despite having a smart TV and a Google pixel phone I wasn't able to seamlessly stream what I was watching on my phone screen on to the TV. I struggled with various settings and then gave up as it was just not happening.I switched on Chromecast and everything worked like a dream. it look me hardly a couple of minutes to set it up and it was ready to go, and this time I didnt even use a smart TV. All you need is an HDMI slot on the TV.The display is amazing and ...",5
175255,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),"It works and its very easy to setup. Only problem is it says my phone is not optimized for screen mirroring and so doesn't work, but it could atleast attempt at doing so. Well, other than that the entire process was fairly straightforward. Nothing mindblowing here but yes, it transformed my dumb LED TV to a Smart LED TV. Earlier to listen to music I had to aux the soundbar to my phone and that required me to sit on the floor. Now I can sit on the couch and cast Spotify and chill. Using it fre...",4
175256,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),"Product is Good , It make your TV smarter . But it Required another WiFI... if you have routers or modem or dongle , then You can easily use cromecast .But if you dont have ANY extra wifi , ... insted of that You can use another phones wifi hotspot. It Required 3 devices then you can vast your content on TV ...1. cromecast 2. device to use google home app 3. wifi connection with internet  ...      you can not connect device directly to tv ..it Required extra wifi with internet.... thank You",5
175257,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),"This product is capable enough to give you smart tv experience on your non smart tv.1. Product looks good and it is easy to install.2. HD content handling is great if your wifi internet speed is good.3. Mirroring is quiet easy and games can be played without any lag, i have tried few, not sure about high end games. 4. Best part is that your mobile phone becomes free to do other things while casting on tv.5. Internet surfing is also good in mirroring mode.",5
175258,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),"Good product. Bought on first day of launch on 24 October and received on 25th. Works on wifi router as well as mobile hotspot. First time installation is bit pain if using hotspot instead of router and takes few days to understand how to connect using hotspot as it will need two phones, one for hotspot and one to connect to chromecast. It will be better to watch tutorials on installing chromecast and Google Home app before buying this. Once connected, both phones can be used to cast and it w...",4
175259,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),"This is best product for casting. If u have Unlimited data so I suggest buy this product.  If your TV not inbuilt WiFi. You use many apps stream and Google apps like Picasa, Google Drive and more channels casting apps or Netflix. This is realy amazing display like HD. I got 1year subscription free for lots of apps.",5
175260,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),"Is a decent purchase only for non Smart TVs. For Smart TVs, it's utter waste as most of the Indian streaming services don't support it and the ones that do, are already available in the TV software. For Smart TVs, would suggest Firestick owing to a separate remote that offers voice search across apps.",1
175261,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),"A great product, but it is difficult for the elderly to understand it's operation, also it takes really long to connect to wifi. other than that works well overall and must thank flipkart for great packaging and delivering the product in a great condition.",4
175262,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),The product is so good that I have no words. It has made my stupid lcd tv a smart tv. You can not cast  everything from apple products. It??s very smalll. It requires power from USB port continuously during its run and it has no battery. It has a small light which confirms if it is powered or not and secondly same light converts into white which shows its connected. Once tv is on and if it??s the only thing connected in hdmi then it will automatically start google home. You need to download goo...,5
175263,Google Chromecast 3 Media Streaming Device?ÿ?ÿ(Black),I purchased it with the intention of streaming my kids online classes on tv. It works fine and we r enjoying it like anything.,4
