Unnamed: 0,Product,Review_Summary,Rating
83437,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",nice juicer mixture grinder.Simply used and average waight. best product in best price.. Thank you Havells and thank you Flipkart...,5
83438,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Item is so good. Look is so smart and quality is to good. Its do work very fast its sharp blade are very strong...... ð???,5
83439,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)","Working fine , the juicer is perfect for small family  home use, after juicing the cleaning process is also very easy. Overall product is good @ price considered. Any one may go for this.",4
83440,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Good product m happy dis product Thnxx to flipcart ð???,5
83441,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",very nice product,5
83442,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",it's not bad but..... I'm not satisfied with it 100/ because juicier is not good,3
83443,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Awesome products. Juicer is very very good compare to another brand. Heavy material body. Great thanks for product fast delivery. Experience good after use.,4
83444,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Nice looking,4
83445,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Good,4
83446,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Nice look,4
83447,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Tot of Noise  this product.,2
83448,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",nice,5
83449,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Got damage product.,1
83450,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Product is damage,1
83451,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Got damaged product,2
83452,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",HAVELLS service IS VERY BAD DON'T BUY ANY HAVELLS PRODUCTð?¤¬ð?¤¬ð?¤¬,1
83453,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Very bad product and damaged,2
83454,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Good,4
83455,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",very nice company and good products,5
83456,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Very good,4
83457,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)","After 10 days I'm uploading review.working smoothly,a little bit noisy but it's normal like other juice machine.full star as it's budget friendly n fullfill your requirement .thank you Flipkart n also ecart. Best service you guys provide",5
83458,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Value for money. Its usefull for home only note for commercial use. Like you cant use daily becuse it is 500 w moter.,5
83459,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Good,3
83460,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",nice,4
83461,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",Wonderful product ..  wastage is very less and cleaning is very easy ð?¥°ð??¯,5
83462,"HAVELLS Rigo without jars (0 jars) 500 W Juicer (White, Blue)",The product are good and best quality but some functions are not working properly.,5
