Unnamed: 0,Product,Review_Summary,Rating
52333,HERSHEY'S Cocoa Powder,It's real cocoa powder. Not that sweet but it's like dark chocolate in taste. I made chocolate with it using cold pressed coconut oil and honey. At first the taste was pretty okay but the smell of coconut oil was alot more dominant in the chocolate which I obviously didn't like while eating. So I made some changes and the 2nd time it was very delicious with same flavour and taste as regular store bought chocolate. Here's the recipe if someone wants to try it. Take 1/4th cup of cold pressed co...,5
52334,HERSHEY'S Cocoa Powder,It's the best cocoa powder available in the market. The best part is that it's unsweetened so you can decide what to do with it,5
52335,HERSHEY'S Cocoa Powder,Well I heard many benefits of cocoa. Really the taste of this unsweetened powder is delicious. Really I was introduced to this product by flipkart. It's a worthy product for our money.,4
52336,HERSHEY'S Cocoa Powder,Looks Good thanks flipkart for faster delivery only issue with date of packaging  May 2021 8 Month old and date of expiry is 12 Months this is not cool,3
52337,HERSHEY'S Cocoa Powder,Very good. I made chocolates :),5
52338,HERSHEY'S Cocoa Powder,Love it ð??ð??ð??,5
52339,HERSHEY'S Cocoa Powder,Nice product with worth price.,4
52340,HERSHEY'S Cocoa Powder,Like it,3
52341,HERSHEY'S Cocoa Powder,I purchased it for preparing chocolate. It came out very tasty. Since it is unsweetened it was like dark chocolate. If you mix amulya milk powder with it then it will be like normal chocolate.,5
52342,HERSHEY'S Cocoa Powder,This is the best available in the market for cocoa drink and chocolate cake..,4
52343,HERSHEY'S Cocoa Powder,Great Quality product by Hershey's. Packaging and box of the product is really nice. Flipkart again does a great job packaging delivery everything was on point.,5
52344,HERSHEY'S Cocoa Powder,Very genuine cocoa powder... I made cake with it.. its turn out so well.,5
52345,HERSHEY'S Cocoa Powder,Very good this is my 3rd purchase,5
52346,HERSHEY'S Cocoa Powder,OMG!!! WHAT A COCO POWDER...its definitely better than cadbury coco powder..I just got today and tried and result is in the picture u can see..Thank you filpkart..,5
52347,HERSHEY'S Cocoa Powder,The product is so good,5
52348,HERSHEY'S Cocoa Powder,"It's all natural, no doubt. There are no adulterants mixed in it. It's pure cocoa powder for sure. And most of all, it's not that costly as it costed me Rs 214/- Only (Including FREE Delivery too...!!!) for 225 gm. Go for it....!!!",5
52349,HERSHEY'S Cocoa Powder,Very nice product....i cooked very well cake at first tym,5
