Unnamed: 0,Product,Review_Summary,Rating
97752,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",I am happy for this product and Flipkart survice is best so I am happy  to Flipkart survice overall this product is best to me,5
97753,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)","Laptop is decent...for daily use its very comfortable, display needs to be some what better, colours are not that vibrant but for daily use we don't get any discomfort, touch pad needs to be some what bigger, sound quality from speakers are very loud and clear, battery back up around 4  hours for heavy use for light use it is around 6hours, excellent in performance.Pros:PerformanceSound quality from speakersDisplay also good for daily usagePremium Design And looksHP service center avail...",5
97754,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)","Best laptop under 35 thousand, great performance, fabulous design light weighted, easy to carrying. brand HP",4
97755,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",I like the speed of lappi...... Performance is good but I don't like display quality. because in Flipkart shoes display type is lcd but actual it's lcd .... Battery performance is Max five hours...camera quality is average. Over-all product is average...,4
97756,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)","Good product best features for this price range and best performance, display quality, thin and light weight laptop it's comfortable for me",5
97757,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)","This is my first laptop and purchasing online by flipkart. I love it. Look very decent , I'm so happy.Everything is perfect.ðð",5
97758,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)","Performance and look weight everything is excellent , only consideration is storage 256 GB SSD.. Value for money",4
97759,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Everything is fine inthis model....except battery backup and only 256 GB SSD. It should be atleast 512 GB.,4
97760,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Excellent performance and nice design,5
97761,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Spectacular ð,5
97762,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Excellenti recommend to purchase this productsuper fast processing,5
97763,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Super,5
97764,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Just go for it !Battery 5/5Display 5/5Performance 5/5Sound 4/5Build 4/5It's not for heavy gaming purpose but you can play casual gamesð,5
97765,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Best Laptop,5
97766,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Don't buy this product. It is waste of money. Second day of purchase occure booting issue. Even HP not supporting for the Issue. Not any support from flipkart.,1
97767,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Good for Students,4
97768,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Heating problem,3
97769,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",",, good",5
97770,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Keyboard not working 1 St day,1
97771,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",This is my first laptop â¦.design is so nice and audio quality is outstanding other than this is most value for money product if u consider 256 gb,5
97772,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Thank you,5
97773,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Overall nice product for home and students,5
97774,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Itâs a good product for daily normal work,5
97775,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Bad product,1
97776,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",I Love this Laptop â¤ï¸,5
97777,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)","Product performance is quite good. Built quality is not so good.No internet port, have to buy adapter seperately.",3
97778,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)",good,5
97779,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light LaptopÂ Â (14 inch, Natural Silver, 1.41 Kg, With MS Office)","display is not good, speaker quality is bad and key board plus touch pad is very hard to press.",1
