Unnamed: 0,Product,Review_Summary,Rating
141567,HP 46 Black Ink Cartridge,The product is very very very good........ Bt price is so high.... Please think about price...,5
141568,HP 46 Black Ink Cartridge,Useful,5
141569,HP 46 Black Ink Cartridge,Hp 46 black ink prints only 650 pages,1
141570,HP 46 Black Ink Cartridge,I am happy..,5
141571,HP 46 Black Ink Cartridge,Great quality,5
141572,HP 46 Black Ink Cartridge,Good,4
141573,HP 46 Black Ink Cartridge,Good product + good packing,4
141574,HP 46 Black Ink Cartridge,Best,5
141575,HP 46 Black Ink Cartridge,Nice original hp cartridge.,5
141576,HP 46 Black Ink Cartridge,Good product,5
141577,HP 46 Black Ink Cartridge,"Thanks HP, Product Seller and Flipkart!",4
141578,HP 46 Black Ink Cartridge,Ok,3
141579,HP 46 Black Ink Cartridge,Print quality excellent.,5
141580,HP 46 Black Ink Cartridge,Super,5
141581,HP 46 Black Ink Cartridge,I bought another one & that was not working But this time excellent and genuine product. Thanx to seller for providing such product.,5
141582,HP 46 Black Ink Cartridge,Good,4
141583,HP 46 Black Ink Cartridge,Useful,3
141584,HP 46 Black Ink Cartridge,Taht s a good productAnd a good conditionAre a very good product,4
141585,HP 46 Black Ink Cartridge,Ok. Fits to printer,5
141586,HP 46 Black Ink Cartridge,Good,3
141587,HP 46 Black Ink Cartridge,Ok,5
141588,HP 46 Black Ink Cartridge,Worst product.,1
141589,HP 46 Black Ink Cartridge,Good Product,5
141590,HP 46 Black Ink Cartridge,Fully satisfied,5
141591,HP 46 Black Ink Cartridge,Nice products,5
141592,HP 46 Black Ink Cartridge,Sup,5
141593,HP 46 Black Ink Cartridge,Niceeeee,5
141594,HP 46 Black Ink Cartridge,Good and nice to use,4
141595,HP 46 Black Ink Cartridge,gr8 thing,5
141596,HP 46 Black Ink Cartridge,price to cost as compare to market price,3
141597,HP 46 Black Ink Cartridge,the cartriage is not working  the is bad product,1
141598,HP 46 Black Ink Cartridge,Good,5
141599,HP 46 Black Ink Cartridge,Good,4
141600,HP 46 Black Ink Cartridge,Very good,5
141601,HP 46 Black Ink Cartridge,Good,5
141602,HP 46 Black Ink Cartridge,Good,5
141603,HP 46 Black Ink Cartridge,Good one and delivery is fast,5
141604,HP 46 Black Ink Cartridge,Nice,5
141605,HP 46 Black Ink Cartridge,"Defective product received, don't buy this product..",1
141606,HP 46 Black Ink Cartridge,Original cartridge. Very good . Same price but no discount hp site and flipkart,5
141607,HP 46 Black Ink Cartridge,Nice,5
141608,HP 46 Black Ink Cartridge,??????????Excellent,5
141609,HP 46 Black Ink Cartridge,Error,1
141610,HP 46 Black Ink Cartridge,perFect,5
141611,HP 46 Black Ink Cartridge,Broken. Showing not compatible. Not working. Worst product,1
141612,HP 46 Black Ink Cartridge,not bad,3
141613,HP 46 Black Ink Cartridge,nice product,3
141614,HP 46 Black Ink Cartridge,excellent product.. price should have been low...,5
141615,HP 46 Black Ink Cartridge,Nice,3
141616,HP 46 Black Ink Cartridge,Original & latest pack.,5
141617,HP 46 Black Ink Cartridge,cartridge not recognised by printer,1
141618,HP 46 Black Ink Cartridge,Not Working,1
141619,HP 46 Black Ink Cartridge,best product,5
141620,HP 46 Black Ink Cartridge,fraud product i will file criminal complent and in a future don't purchase any products through flip cart because cheat me by giving bogus product,2
141621,HP 46 Black Ink Cartridge,Good quality product,5
141622,HP 46 Black Ink Cartridge,good,4
141623,HP 46 Black Ink Cartridge,nice product but better price available in market,4
141624,HP 46 Black Ink Cartridge,poor longevity,3
141625,HP 46 Black Ink Cartridge,Rate so costly,2
141626,HP 46 Black Ink Cartridge,good quality,4
141627,HP 46 Black Ink Cartridge,good,4
141628,HP 46 Black Ink Cartridge,Nice,3
141629,HP 46 Black Ink Cartridge,Good printing quality,5
141630,HP 46 Black Ink Cartridge,Very nice,3
141631,HP 46 Black Ink Cartridge,Good,4
141632,HP 46 Black Ink Cartridge,Found a defective piece bad packing no option for replacement,1
141633,HP 46 Black Ink Cartridge,good product,4
141634,HP 46 Black Ink Cartridge,Good,5
141635,HP 46 Black Ink Cartridge,Excellent....,5
141636,HP 46 Black Ink Cartridge,"Original product , good",5
141637,HP 46 Black Ink Cartridge,Good product,5
