Unnamed: 0,Product,Review_Summary,Rating
60090,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Better than I expected. The blue mechanical switches sound like heaven and the clicks are so satisfying. Even the RGB (which has total 20 different light effects) is crisp and bright and looks really stunning. 10/10 product :),5
60091,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"1st day impressions......awesome product....Drawbacks... Firstly, u kinda need to memorise the function key hotkeys as it is not shown on the keycaps., Secondly, the glossy sides of the keycaps reflect too much light makes it hideous to look at top down ....see pictures for referenceBut typing wise its way better cause i had never used a mechanical keyboard before...and led presets are awesome tooCouldnt complain more from a Rs1500 mechanical keyboard...but yah the glossy keycap sides....r...",5
60092,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Pretty good keyboard !! 20 lighting modes capable of increasing and decreasing the speeds as well as brightness..Though I didn't like the font used for lettering,5
60093,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"For 2k, the keyboard is a good option. Though it's marketed by HP but is actually a manufactured by a Chinese OEM. The keyboard is sturdy. Lightning effects are also good, though I am not a big fan of the RGBs. A simple white backlit solution is also fine for me.However, I wish the quality of the keycaps were better. They have gloss finish on the sides which makes it prone to scratches. Even if we pull the keys with the help of provided keypuller, it will still scratch the keys from the si...",3
60094,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"I will divide my review in two sections, pros and cons.Pros-1) keyboard is mechanical. Input force for the keys is 60gms which is, atleast for me, good.2) Not too noisy.2) RGB is fantastic( 16 different modes in total)3) Wore/ Cable, though not braided, is of good quality.Build is solid and feels sturdy.Cons- 1) Keys are made of ( not very good quality) ABS plastic.2) They could and should have included a palm rest.Nothing much. On a price tag of <2k, this deal is a steal.",5
60095,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"For this price range, this is the best budget mechanical keyboard you will get and that too backed by HP brand. I bought this product and i like it. Don't expect cherry switches in budget mechanical keyboards, these have Kailh blue mechanical switches which are fine for this price range.",5
60096,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"The keyboard worked properly during the return period but problems started showing up after 9 days.Keys won't work when pressed and backspace sometimes works, sometimes doesn't work and sometimes deletes 2 letters with a single press.Typing with this keyboard is now a nightmare. I am currently using my flimsy laptop keyboard for work instead of this keyboard that I paid for.The fact that it stopped working right after the return period ended means it is just a waste of money.DO NOT BUY...",1
60097,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),really nice product of hp. this had a very tactile backfeed on gaming. it has anti ghosting and n key rollover.,5
60098,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Value for money,5
60099,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),It is amazing  I m playing lost of hard game in this like i hit keys so many times but it is awesome,5
60100,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Just got it for only 1299 . So cheap. Now price again gone to 2500 . I was luckyAs this was my first mechanical keyboard I am writing my review accordinglyPros1. What the loved the most is the clicky soundIt's so pleasing2. Keyboard build quality is averageThough the glosssy finish at some places makes it look awesome ?Cons: I have rated 4 ? only because it didn't come with wrest support . I find it difficult to code for longer time2. They should have provided software to control it,4
60101,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Good keyboard. Backlight is bright. Good build quality.,5
60102,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"Received an open box, customer care told me that it is normal also told me to keep using it, HP will replace under warranty. Why HP! Why canât you provide a new box packed product. The keyboard stopped working exactly after a year. The keyboard was actually good for both gaming and typing but some keys on the left side were very sensitive.",2
60103,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"Value for moneyI like this product.Keyword come with blue mechanical switches are so colourful.Its working well.But some problem its shift and enter key have too movement I think hp should think about it, add some fine quality films in the switches.",5
60104,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Back-light is not work,1
60105,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Defective Keyboard Received.  Check for Images.,2
60106,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Awesome product...,5
60107,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Some keys started registering twice for a single click Some RBG lights from keys stopped working after 6-7 months of usage,2
60108,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Didn't last even 6 months. Letter T in the keyboard stopped working or work after 5 failed attempts just after 2 months of usage. Waste product do not buy it.,2
60109,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"Best in the price, got it in 1299",5
60110,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),This Keyboard is completely awesome!Superb smooth to use. HPâ¤ï¸,5
60111,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"Worth every penny for a mechanical keyboard, I got it for 1299. Just one complaint I wish it had single colour option. Multi colour makes me look like a kid using it",5
60112,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Nice product,4
60113,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Best gaming mechanical keyboard on the price...hp brand gk320...  Lighting are not great.....,5
60114,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Great product...,5
60115,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Keyboard is nice. A little key wobble and minor scratches are there on each and every key (not noticeable). For 1599 I couldn't ask for more,4
60116,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Worth the price! Good quality,5
60117,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Rock solid mech kb for the price.,5
60118,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Blue switches at this prise.. way good product for the price range. Quality is really speaks of the product.,5
60119,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Good quality at this price segment,4
60120,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),wow very good  led keyboard .....  this is veru beutiful keyboard.......,5
60121,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Decent.,4
60122,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Keys wobble too much,4
60123,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Great for the price,5
60124,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),I thought that the price is too cheap also the product is cheap but when i got it. it was awesome the lights are working properly the anti ghosting is also good the build quality is plastic but it is good for the price.loved the product ð¥ð¥,5
60125,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Num pad key 1 stopped working a month after the purchase.,2
60126,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"HP brand product but quality not as expected, keys are made of very thin plastic.This must not expected from a big brand like HP.",2
60127,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),i many too just noise cant use in quiet place like at night or in hostel room,2
60128,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Nice product Packing is also good,4
60129,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),Nice product,4
60130,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),It's a good  keyboard,5
60131,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),"Cheapest mechanical keyboard in the market, go for it.Using it for my programming work, keys feel good.",5
60132,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),The product when arrived had it's space button unplugged Thankfully it's a mechanical keyboard and was easily able to set up the key again even without the tool provided ^^;Still the experience of me using this keyboard is a great bliss with no other issues except the bad first-hand experience U_U,4
60133,HP GK320 Wired USB Gaming KeyboardÂ Â (Black),It overall looks like a Rs.5000+ Keyboard. Go for it withought second thought. Im super satisfied with it. Thank You Flipkartðâ¡,5
