Unnamed: 0,Product,Review_Summary,Rating
97680,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","Every thing is nice and clean, ryzen 5500U provide beast performance while doing heavy tasks in power bi, premiere,ps. ms office is cheery on top for students. The only problem is there is no backlit keyboard, or else it's pretty good you should go for it if you find it near 45-48k.",4
97681,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Excellent ððð,5
97682,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Amazing laptop.....Nice performance....Like itððð,5
97683,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Nice performance and i loved it â£ï¸,5
97684,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Product is amazing and worth it.,5
97685,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","This laptop is very awesome, you can buy this laptop, it's valu for money",5
97686,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Good for research work... matlab version 2022 can easily be installed and run,5
97687,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Very faster and excellent Laptop,5
97688,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",the laptop does not switch on even after pressing power button i have just used started using the product and i am facing this issue,1
97689,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","Hp laptop with that much features in this price range is Incredibly amazingð¥, value for money Go for it. ðð¯",5
97690,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Nice,5
97691,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","No complaints so far, have been using this notebook for graphics designing and it works perfectly fine, however, I was looking for a notebook with a graphics card but unfortunately manufacturers are trying to expand their the gaming laptop market, therefore, this was one of the best options I had.",4
97692,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Very very nice product i m using in this laptop he's working very very.... fast      its is nice product in this money value,5
97693,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Good,5
97694,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","Worst product ,no service provided here",1
97695,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Good Laptop under 42k. Performance of the laptop excellent. Highly recommended for students,5
97696,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","2 things that really not like about this is keyboard and display, keyboard because keys are small and difficulty in typing, display because that it's not  ips display thats really missed in this product",3
97697,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","The power is not working properly , need to keep switching for several times .",1
97698,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","Nice laptop, fast charging but no backlit keyboard. Overall good buy in this price range.",3
97699,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Best for always,5
97700,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Good product But no keyboard backlight,4
97701,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Very good for this proce,4
97702,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Sound quality is goodDesignand build quality is awesome Normal performance Dispaly is badMicrosoft office home and student 2021Windows 11,4
97703,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","Best Laptop in this Prize Range ,performance wise best, if you have not problem with display and backlit then definitely go for it.",5
97704,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","The only drawbacks are lack of a backlight keyboard and weight,other than that this is perfect win 11 laptop for office use(i use it for moderate coding). Screen quality 4/5Speed 5/5Build quality 3.5/5Weight 1/5 its heavyPacking 3/5Delivery bit too long",5
97705,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","Product is nice ,",5
97706,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Great product at this segment,4
97707,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Superb all good in this laptop specially I found excellent battery backup.,5
97708,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Best product and look is very nice and slim,5
97709,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Very good battery 3 hour,4
97710,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",After using 2 days..battery backup is about more then 4 hours..Camera is decent...Performance is also good. Sound quality is wow.Looking professional. Overall good in this price..,5
97711,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Great product,5
97712,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light LaptopÂ Â (15.6 inch, Natural Silver, 1.69 kg, With MS Office)",Value for moneyGood performance ðð»ð,5
