Unnamed: 0,Product,Review_Summary,Rating
14627,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Everything is okay expect the engineer's charge . Why I am saying that because fitting of this chimney just require hardly 5 to 10 minutes . He just put 3 screw in the wall then just some demo of this product . he chrages 1000 rs ..it is not worth of money ...you can fit this by yourself it is so easy ...,4
14628,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Worth BuyingThis is almost two week of using this product. So far I have some points to make1. It is working very efficiently and results are quite good.2. It's handy in terms of controls and has good gesture control feature.3. It's is quite silent in operation.I will recommend this product for all the first time buyers and it's worth buying.,5
14629,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"Looking very nice and performance is very good.I'm happy to purchase the same.Delivery of flipcart is also good like previous.Demo and fitted by Mr.Bijoy Biswas, who is a very gentle man. I'm very satisfied by his work and good behaviour.",5
14630,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"Nice product. Got it for an awesome deal on Flipkart bigbillion day. Delivery was within 4 days, Installation was really fast , literally even before 24 hours after delivery. Really happy with the installation. Worth the prize. Autoclean filter less technology is just awesome.",5
14631,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"My product is good , the company has given me the best product My problem is delivery man asked for Money to deliver the product at my home , which I already deposited amount This is not a good experience !!I had booked a product in black and silver color Color of my product is changed !!!!",3
14632,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"Good performance, sleek design.Only down side is that it starts at max speed. Would have been better if it could be adjusted to start at 1st speed mode.",4
14633,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"The product was received in good condition on timeThe service executive was well trained and gave us a complete run through, good job from installation and demo.Overall product experience will update later, so far so good.",5
14634,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"Delivery took little time (5 days) but installation was fast. Hindware is providing good service. Hood is working fine and looks beautiful. Haven't used the autoclean feature yet, so can't say anything on that. Otherwise good product from company. Go for it.",4
14635,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Its an excellent product ???????? till date it's doing a fabulous job.Cooking has been very smooth with Hindware chimney as it keeps away all the stickyness...,5
14636,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"7 days since it became a part of the kitchen and what crisp and clean performance!!Killer looks, low on noise and excellent suction. Gesture control might sound fancy but is so convinient when you use it and now on for me it's a necessity as you don't want to touch this beautiful black shiny machine with spices, gravy all over your hand.",5
14637,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),The chimney is best in class. Less in amount as compared to offline market price. The sensor response is good as well as the light in the chimney is very helpful while cooking in counter.,5
14638,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Good product with awesome features. Installation and demo will done by correct time. Thank you flipkart,5
14639,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Nice Chimney By HINDWARE.Does Silent Operation Comparatively.Liked Motion Sensor.,4
14640,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Nice product..Its work properly.,4
14641,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),This product is very good ????,4
14642,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Very,5
14643,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Working nice. I like this. ????????????,5
14644,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Good work,5
14645,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Please don't go for it. Flipkart and Hindware is making fool. If any problem will come they are not going to help. I don't want to use abusing words but they people deserve so much.,1
14646,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Exhaust pipe pvc material description not mention and installation charges asking Rs.2000,1
14647,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Good products,4
14648,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"Hindware installation team is worst, never suggested",1
14649,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Baffle filter is much better than this filterless. Not absorbs all the smokes. Due to its filterless technology motor gets easily contact to the cooking smoke but cannot absorb all the smoke. It's rotating motor spreads the smoke all over the room also from right to left smoke spreads with the direction of motor's rotation.,1
14650,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Nice one at a reasonable price.,5
14651,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Value of money. But software is poor sensitive. Overall not bad this product.,3
14652,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Good product,4
14653,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),"Product is good quality,  Thanks to flipcart",5
14654,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Auto cut off after every 15 -20 minutes running...Technician visit 2 times but problem yet not to be resolve..sucssion power was not reaches expected level..Overall i am disappointed...,1
14655,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Good one,4
14656,Hindware Ripple 90 Auto Clean Wall Mounted Chimney?ÿ?ÿ(Inox 1350 CMH),Only Machine inside...NO nut bold and Handel nothing..,1
