Unnamed: 0,Product,Review_Summary,Rating
32354,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher",Product works very well and does the job perfectly. Fortune detergent & rinse & salt is better than detergent from IFB. Highly soiled vessels of milk etc cleans well with fortune detergent plus use the mods called super 50 C. For very high intense cleaning use auto intensive mode. I compared dishwasher of Bosch Siemens and IFB. Bosch and Siemens lack water softener units. And most of them does not have stainless steel interior. Which brought me to select this model. You can adjust the tra...,5
32355,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher","Product arrived on Friday 23th mar and installation was done by Ifb on 29th Mar . Also I ordered 1 rinse aid , 1 kg detergent ,1 salt packet  which is enough for the machine to function but the person who came for installation forced to take one more salt which we had to purchase from him.Flipkart delivered within tat and the product was delivered without a scratch-5 star .Ifb installed and provided demo beyond tat and with intensive cross selling but gave good service. -4starThe dishwa...",5
32356,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher","Absolute Value For MoneyWell I bought this product after going through all the reviews where people have put 1?? rating due to bad service or late installation process which is partially true, but I decide to give it a go and bought it on first delivery I got a damage piece for that I placed a return request and they pick it up after a 8 days and after a wait for another 7 days I get my replaced dishwasher. it's a genuine time saver and absolute value for money and very easy to operate once ...",5
32357,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher","Writing this after about six weeks of continuous use @ minimum 2 loads per day, on occasions more. This is excellent product. Super efficient and quiet operation. Utensils are cleaned thoroughly and hygienically and come out sparkling, something you can never achieve with hand washing. Even heavy ones like kadhai used for Indian cooking are not a problem. It removed my lot of misconceptions about utility of dishwashers in Indian context.Uses just over half a large bucket of water per load so...",5
32358,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher","Purchased in April 2021. Before that visited nearby IFB points several times but this item was out of stock all the time. Luckily got in Flipkart and also with around 3000 discount on mrp thanks to Flipkart and my bank card. Used it rarely in first two months but from June using it almost every day once. Performance is ok, can't say great. Vessels need bit of pre scrubbing if one wants good results. Used IFB dishwasher powder and also tablets so far. Recently bought Finish tablets not used ye...",4
32359,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher","Booked on 31st dec and delivered on 1st Jan .. Super speed delivery . waiting for installation .Engineer had visited on 2nd Jan , and the plug point was little far away from the choosen place to keep the dishwasher , suggested to get extention cable of 16 Amps plug..and said will visit us once we are ready with it. He also pointed out to use the water softener device /liquid which will cost us 3700/- extra to avoid descaling /lime accumulated on dishwasher.. we are in doubt on this as no whe...",4
32360,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher","Mind blowing deal. Thank you Flipkart and IFB for the product and service. Really, it's a best deal. It's an high end model in India with all required features enabled. All dishes are damn clean with no stains if we follow the protocolProduct is delivered before the promised date and on the same service man is in touch and gave demo and installation. So nice person. He also did additional service by changing my tap aa per requirement.No noise. It's lesser decisbles than my washing machine...",5
32361,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher",I have been using IFB Neptune VX dishwasher since 1 and half year & its fantastic performance. It will not only give me sparkling utensils but also dry crockery out of the machine. Fully utilized during home party's. perfectly suited for Indian homes & Indian cooking.I am very happy that i bought one.,5
32362,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher",Just Bought the product <7days . Washing quality is good. The program options are good for indian family.Its very spacious and it accomodate all the utensils for a family 3-4 people. Its good. I hope it remains like that. Have Resume functionality after powercut. Will update after using 6 months,5
32363,"IFB Neptune VX Free Standing 12 Place Settings with Germ-Free Hygienic Wash, Made for Indian Kitchens, Steam Drying, Energy Efficient Dishwasher",Excellent product. Easy to use with the 8 standard programs. The minimum wash cycle is 40 minutes with tablet. Longest wash cycle of 3 hours. Clean vessels after wash & odourless vessels.,5
