Unnamed: 0,Product,Review_Summary,Rating
186626,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Good product with no layback and works perfectly well!! Would recommend others to purchase the product.,4
186627,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Everything is good and awesome.. But little heating issue.. Other that it's good one.,4
186628,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Superb quality...,4
186629,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Simply waste of money,1
186630,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Very small.size .. 2 people use  only   capacity..,3
186631,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Very Good product,5
186632,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),It makes atta dough within 2 minutes. Just go for it.,5
186633,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Just ok,3
186634,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Nice,5
186635,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),"Nice  look, but little heating problem",4
186636,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),"Nice  look, but little heating problem",4
186637,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Costly compared to other wet grinders,3
186638,KENT 16079 - Wet Grinder Wet Grinder?ÿ?ÿ(White),Very good ???,5
