Unnamed: 0,Product,Review_Summary,Rating
85979,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Good product and using it for multi purpose,5
85980,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Super nice,5
85981,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Good quality â¤ï¸â¤ï¸â¤ï¸â¤ï¸,4
85982,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Nice ð,5
85983,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Balance is not perfect,1
85984,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Products very nice and comfortable items,5
85985,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Normal table only. Delivery time I more high. Quality is also not look like as photo's. Over all review is 4/10 only,2
85986,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Nice,5
85987,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Good product,4
85988,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Can go fo it... really good,5
85989,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Good,4
85990,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Not as well as strong...poor product,1
85991,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Nice,5
85992,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Nice,4
85993,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Excellent,5
85994,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Very nice,5
85995,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Not properly stand without support,3
85996,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))",Super,5
85997,"Krishna Creation Laptop table 1004 Wood Portable Laptop Table (Finish Color - Black, Pre Assembled) Solid Wood Study TableÂ Â (Finish Color - black, DIY(Do-It-Yourself))","Low quality, not worthy",1
