Unnamed: 0,Product,Review_Summary,Rating
186867,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),"This is a nice product worthy of the price , does not make the usual grinder noise , only suitable for a very small family , but since ours is a big family we have to use it to grind batter daily , so if your family has more than 4 members , please go for a bigger size.",5
186868,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),good,4
186869,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),its a good producteasy to use,4
186870,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Very Good,4
186871,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),it's damaged,1
186872,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),"It's good not bad, it's worth",5
186873,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),"good working, value for money",5
186874,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),bad quality,1
186875,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),"Unsatisfactory product. Out of 2 stones, 1 stone was working and other was getting stuck, in the middle. Gets heated within 10 minutes of working. On dialing to customer care agent, call gets diverted to some other location.A complete defective product. Waste of spending money on the product, if it's not working as expected.",1
186876,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),"Really Good And Nice Product, Thanks To Flipkart.",5
186877,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Not good Over heat combatant,2
186878,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Super,5
186879,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Nice,3
186880,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),smart n light weight,5
186881,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),"Good product for this rate scale ??...,  amazing delivery ..  thank you team #flipkart",5
186882,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Excellent product. Timely delivery. Recommended for prospective customers.,5
186883,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),super,5
186884,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Very nice,5
186885,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Not good product packing...screw bush mssing,1
186886,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Very bad quality.....I'm very disappointed,2
186887,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),Good,3
186888,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),very good product,4
186889,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),best product,4
186890,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),While running smoke and over heat noticed.Very much disappoiment about this product.,1
186891,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),good,4
186892,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),moter getting heat so quickly .. average performance only,3
186893,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),good,3
186894,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),GOOD PRODUCT AND GOOD QUALITY,5
186895,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),good product,5
186896,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),when we start the grinder it's body became heat to early,2
186897,Lakshmi ez Wet Grinder?ÿ?ÿ(Maroon),good,3
