Unnamed: 0,Product,Review_Summary,Rating
97502,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","I got my laptop delivered and this is a solid one.Ryzen 5  does all the normal work very efficiently.It's comes preloaded with windows 11 and Ms office 2021 with lifetime validity and one good thing is that with this laptop is that,that it comes with 2 year warranty.Overall a good experience with this.Build quality is ðSpeakers are decentDisplay are  avg not like ips but it's normal you can manage itOverall value for money product",4
97503,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Very good product and awesome and perfect quality and performance is the best,4
97504,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Awesome performance. Amd ryzen 5 and amd graphics.Build quality is so good in this price.Battery back up very well upto 6 - 7 hrs.Screen quality not bed. Not ips level quality but very nice.Without any issues.Sound quality is pretty good. Dolby sound.Keyboard and it's led back-lit is so cool. I like it.And 2 years warranty. 65w fast travel adapter.Overall this is the best laptop under RS: 50000.This laptop suitable for office use, education purposes video or photo editing, coding, Ja...",5
97505,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Damm This is a beast Laptop under 50k.I got this laptop as low as 45k and the design, performance and battery backup is too good. I'm obsessed with backlight keyboard loved it ð¤©Pretty decent design and looks so cool ð¥°",5
97506,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Everything is awesome in case of performance and speakers , multitasking.Pros:It can run multi windows four heavy applications at a time .It is very good students and multitasking.The speakers are good and high enough to listen Cons:The battery backup is medium about multimedia other cases like coding and editing it gives good battery backup.The main disadvantage is the screen it is LCD looking like not so good.It has only 2gb amd Radeon graphics so you can't play heavy games and some...",4
97507,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Very Good product . I am little bit upset with Display quality , and somehow buildquality is not as good as provided by Dell or HP , but this laptop is very economical and good for students .",4
97508,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Classic and elegant design !! Fast and responsive !!,5
97509,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","It is my first laptop it says 1.65 kg in description but it's a bit more heavy like somewhere around 2.kg build quality is good so quick and fast batteryð is also lasts upto 7-8 hours display is normal display would have been better if it was an ips display but ips display's consume more ðWebcam is also decent just need the proper lighting for good video chats, yeah overall one thing I will say in this price range around 50k we middle class people always need to make some compromises I com...",4
97510,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Smooth and Good Performance.. Display is great in this price range... Average 6hrs of battery backup with moderate usage.. Surely Go for it... ððð,5
97511,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Its is good laptop ð» and satisfied you with its performance.Its battery backup is so good and display is good , And design is best ,and better for coding",5
97512,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",overall performance was good .... build quality  of the product is satisfied.. battery backup  its fully depends upon your works if you are browsing it will come 8 hours.. if you are watching movie or playing games it will come only 3 hours.. full HD display was good... sound quality just okay ...design and other things are good but kindly note in this laptop not having LAN port  .,4
97513,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Every this is blazing fast But TN display is not worth it n speakers are average better to go with asus series where you get good package overall,4
97514,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Terrific purchase... Got it for 29k after exchanging my 5.5 yrs old (about to die) laptop... Won't get any better deal than this .. speed, quality of laptop is on another level... Fast charging is also great and backlit keyboard is lit .. Just go for it...",5
97515,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",After a week I used it you just unbelievable it's lovey For student and office work it is really good Backlit keyboard is awesomeAnd better backup is also good,4
97516,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Got at very good price during big billion sale...packaging was good  and smoothly deliver at my door step. Even I like the unboxing procedure of flipkart  ....thanks flipkart.,5
97517,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)",Lenovo ideapad slim 3 is good ð. But the only thing is display quality is not so good but also not bad because if you visit alot of white color web pages or white products or you have to work with white screens then this laptop with this display quality is not suitable but over all performance is awesome and processor speed is also very good. And the design of laptop is premium look and sound quality is also good. There is no complaints with the speed and performance and processor. Overall a...,4
97518,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light LaptopÂ Â (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Using this laptop for the past 15 days and I am completely happy with the laptop in performance wise and other aspects. Ryzen 5 does a brilliant job. I am mainly using it for programming purposes including software like R, PowerBi, Python, MySql, and all and it does a good job in it. The battery life of the laptop is incredible nearly I am getting a battery life of around 5-6 on average and it depends on the usage. After the first update felt that there is a huge increase in the battery life ...",4
