Unnamed: 0,Product,Review_Summary,Rating
36,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",The best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698,5
37,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","cooler is big and wide . maharaja brand trust (y) every thing is good about cooler ,create less noise . only thing is that its motor is not powerful   even in high speed rest all things are good ,.but yes for one middle size room it is ok",4
38,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",It is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will I hope create a space problem during off seasons... The air supply is very good and it's one of the essential part of the air cooler with the wool wood pads which helps to make super cooling.... Afterall thank you Maharaja company to make such a product in affordable and reasonable price,5
39,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Awesome Air coolerI was looking for a cooler under this range and this has fulfilled my requirement. This has the following features:1) Great Air through the capacity of 5000 m3/hr 2) Comes with a large 65-litre tank which can run overnight with ease.3) Great built that is a shockproof and reliable material.4) You have to stop this beast at night because it has that massive cooling capability.One small concern is mine and it is for sure that it is not a deal-breaker that it produces s...,5
40,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","Purchased after a lot of discussions and reviews. I would say this the best which gives you the comfort needed. Best to for with no 2nd thoughts. Nice cooling, low noise. Hope this should be energy efficient and used for a long run...",5
41,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Very nice cooler. Cooling is very good  there is no noise. I reviewed a lot then only i purchased it. If you want effective cooling you have to set it up at a window where there is cross ventilation. Without cross ventilation it will make environment humid. Lookwise it is very nice and material is strong.,5
42,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",feedback given after using one week .. the cooler is amazing it's making the whole room cooling .. you should install the cooler near to your windows .. & the delivery was on time as well .the delivery boy also very supportive,5
43,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Great deal .. 65 l quite big tank . Sufficient Cooling for one medium size room .. 3 modes works well.. best in this range,3
44,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",I bought this cooler on heavy discount by flipkart. Cooler is build of good quality material. It has a fast fan with powerfull motor pump. Air quality is Excellent even for a big room. A must buy value for money product.,5
45,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","The Good things1. Very well packed. Good amount of thermocols to protect from transport damages2. Sturdy body3. Relatively less noise as compared to Bajaj cooler I had earlierWish this was betterFor many purposes, it is necessary to open Cooler body. Opening the body of cooler is not very intuitive. Common consumers may not even attempt for fear of damaging something. 1. Easy opening of side frames to change pads, or clean the water inlets2. Water balloon used to cut water supply au...",3
46,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Excellent product..Happy with result....Nice air flow...Osm cooling.....,4
47,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",cooler Works Fine And It Is Inverter Friendly,5
48,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","Small wire and moter capacity is very low fan speed was not good ,out flow vent hole is above the lower part of cooler ,it's very difficult to change water.",1
49,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Perfect product for large size room.,5
50,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Average cooling not much as expected by size and reviews of cooler... cooling is sufficient Maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity.,4
51,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Product was amazing..  cooling capacity awsum. Pls go for ahead .. a big thumbs up ?,5
52,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",good,4
53,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","Received dalay 10 days, cooler is ok, when I was reveived switch damaged.",3
54,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","Big one,working good 2days of use hope will work for long run",4
55,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",good product nice air flow and no noice,4
56,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",In this price.. Good cooler..,5
57,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",is good for many,4
58,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","It is an awesome product, light weight, easy to use and having lot of features",4
59,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",The product doesn't cool as rated by other customers . The cooling is very slow . Very wrost product . I recommend to not buy this item . Wastage of money .,1
60,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",looks like monster cooler. it is working as awesome,5
61,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","Very nice product, Thank you Flipkart.",5
62,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Very good,5
63,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Good cooler.  It occupies more space..   Looks very large but good for Hall..   It covers all the places...,4
64,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","Very impressive cooler.Pros - Stylish , Energy efficient 165 Watt , Very good air throw and cooling , Summersible pumpCons - Very bulky take more place than other , No wheel , lack of ice box",3
65,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Best cooler. I bought 6884/-,5
66,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Excellent cooler in this price range.Pros:1) Air throw is very powerful even when u run it at slow speed setting 2) Cooling and Tank capacity3) Ergonomics Cons:1) If you want to clean the cooler then opening the pads is very cumbersome process. If you have placed it on some flat surface then also draining the old water is very difficult. Overall V good cooler apart from above cons and considering price.,5
67,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Cooler not provide cool air... Because 1year experience.,1
68,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",A good product in budget,5
69,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",packaging excellent. value for money product.,4
70,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","Delivered within 2 days, working good",5
71,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Efficient for Large RoomsPros-1. Low Noise of Fan2. Inverter Friendly3. Cools large rooms fastly and easily4. It have Aroma chamber in which you can add tablet of frangrance to Counter Smell of Woodwool Pads5. It have 2 Section for air flow which means you can adjust it to get Air for double decker cot equally.Cons-1.They should have provided stand of castor wheel for it to move.2. It should have Ice ChamberWill Update more about it in future...,4
72,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",better than the steel cooler less noise and value for money,4
73,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","dont buy maharaja whiteline coolers , they have cheap aluminum motors that are good for at max 2 years. repair cost of these motors is so high that u would want to sell rather than repair them.",1
74,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Very nice product and delivery is satisfied,5
75,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","No Quality product.1. The wood wool has started falling out from the next day.2. Out of Two Led (Indicator ) has found not working on arrival.3. The air swinger is already giving noise when moving which never used to be in my old cooler which I am using since 3 years.4. The quality is no way machine to ""Branded"" coolers.5. Anti bacterial tank has been bacterial now as there is no way to clean it. So, congested to maintain it cleanly.In my way think before you buy.AC has option to Aut...",1
76,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Air throw is very good. It makes room very cool in just half an hour. Full tank capacity is 65 litres which stays up to 5 hours. It makes big living room colder. Not very much noisy.,5
77,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",on time delivery... Received exact product..Thank u Flipkart.,5
78,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Maharaja always no 1...,5
79,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Awesome product. Love this,5
80,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Poar quality plastic material is not good.,2
81,"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)",Value for money,4
