Unnamed: 0,Product,Review_Summary,Rating
82959,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)","One of the best product easy to use ð??? nice in orange colour â?ºï¸ juice and waste are completely separate and you can enjoy the juice ð??? if you want to buy a juicer, you must go for this. ð??",5
82960,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Excellentð??ð??ð??? great juice experience,5
82961,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",this is nice products,5
82962,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",nice deliveryboy,5
82963,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Very good,3
82964,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Good product  ð??ð??,4
82965,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Good product,5
82966,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",good product,5
82967,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",not worth buying. wastage of money. low quality product,1
82968,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Repair,3
82969,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",This product is not good for making juice,4
82970,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",very nice,5
82971,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Nice product,5
82972,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",It's nice,4
82973,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",very good product thank you flipcart,5
82974,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)","Very bad item,Waste of money,Quality is very cheep",1
82975,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Nice product. Delivered timely.,5
82976,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",This product is bad product,1
82977,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Nice,3
82978,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Excellent product,5
82979,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Good,3
82980,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Good,3
82981,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Good quality,5
82982,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",This product is very nice.,4
82983,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Good,3
82984,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",It's product very good,5
82985,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Awesome productâ¤â¤ð???,4
82986,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Very bad product,1
82987,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Very good,5
82988,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Very good product.,5
82989,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",nice juicer i like it please do two time grind the juice item nd get best result,5
82990,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Nice but the quality dss shortly low plastic was use to make,3
82991,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",nyc product .. exllent.. good,5
82992,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Good product,4
82993,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Beautiful juicer,5
82994,"MANTAVYA Green Juicer New Model Hand Juicer Grinder 0 W Juicer (1 Jar, Green)",Good product for juice r,5
